"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","MIRIAM BOBADILLA DEL VALLE","Nivel 1","INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","MEDICINA CLINICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","HÉCTOR E. ESPINOSA ARCINEAGA","Nivel 1","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","MEDICINA CLINICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","FEDERICO JAVIER ORTIZ IBARRA",,"INSTITUTO NACIONAL DE PERINATOLOGÍA","MEDICINA CLINICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","MA. EUGENIA JIMÉNEZ CORONA",Candidato,"INSTITUTO NACIONAL DE SALUD PÚBLICA","MEDICINA CLINICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","JOSÉ LUIS VALDESPINO GÓMEZ","Nivel 2","INSTITUTO NACIONAL DE SALUD PÚBLICA","MEDICINA CLINICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","LOURDES GARCÍA GARCÍA","Nivel 2","INSTITUTO NACIONAL DE SALUD PÚBLICA","MEDICINA CLINICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","CARMEN SOLER CLAUDIN",,"SECRETARÍA DE SALUD DEL GOBIERNO DEL DF","MEDICINA CLINICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","PATRICIA OSNAYA VÁZQUEZ",,"SECRETARÍA DE SALUD DEL GOBIERNO DEL DF","MEDICINA CLINICA"
"ESTUDIO PROSPECTIVO DE CÁNCER DE MAMA EN MÉXICO: MEDICIÓN BASAL Y PRIMER SEGUIMIENTO DETERMINANTES MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRÁFICOS","Instituto Nacional De Salud Publica","CLICERIO GONZÁLEZ",,"INSTITUTO NACIONAL DE SALUD PÚBLICA","ENFERMEDADES CARDIOVASCULARES Y DIABETES MELLITUS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","ANDREA EUGENIA GARCÍA CRUZ",,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",NEUMOLOGÍA
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","MARIO JÁUREGUI CHIU",,"ISTITUTO DE SEGURIDAD SOCIAL AL SERVICIO DE LOS TRABAJADORES DEL ESTADO","SALUD PÚBLICA, HEMATOLOGÍA CLÍNICA,  PATOLOGÍA"
"EVALUACIÓN DE LOS CAMBIOS SECULARES EN LA UTILIZACIÓN DE LOS SERVICIOS DE PREVENCIÓN Y TRATAMIENTO EN EL PRIMER NIVEL EN LA ATENCIÓN DE FACTORES DE RIESGO CARDIOVASCULAR EN POBLACIÓN ABIERTA URBANA DE NIVEL SOCIOECONÓMICO BAJO.","Instituto Nacional De Salud Publica","DAVID RIVERA MARTÍNEZ",,"CENTRO DE ESTUDIOS EN DIABETES","ULTRASONOGRAFÍA VASCULAR"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","PATRICIA VOLKOW FERNÁNDEZ","Nivel 1","INSTITUTO NACIONAL DE CANCEROLOGÍA","ENFERMEDADES INFECCIOSAS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","JORGE GARCÍA MÉNDEZ",,"INSTITUTO NACIONAL DE CANCEROLOGÍA","ENFERMEDADES INFECCIOSAS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","PATRICIA CORNEJO JUÁREZ",,"INSTITUTO NACIONAL DE CANCEROLOGÍA","ENFERMEDADES INFECCIOSAS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","JUAN SIERRA MADERO","Nivel 2","INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","ENFERMEDADES INFECCIOSAS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","LUIS SOTO RAMÍREZ",,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","ENFERMEDADES INFECCIOSAS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","CLARA CRISTINA SÁNCHEZ RODRÍGUEZ",,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","MEDICINA INTERNA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","FRANCISCO QUIÑONES FALCONI",,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","ENFERMEDADES INFECCIOSAS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","RICARDO S. VEGA BARRIENTOS",,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","MEDICINA INTERNA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","OCTAVIO CURIEL HERNÁNDEZ",,"ISTITUTO DE SEGURIDAD SOCIAL AL SERVICIO DE LOS TRABAJADORES DEL ESTADO","MEDICINA INTERNA"
"CALIDAD DE LA ATENCIÓN MÉDICA EN LOS SERVICIOS GERIÁTRICOS Y MÓDULOS GERONTOLÓGICOS DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO.","Instituto Nacional De Salud Publica","ROSALIA MA. DEL CARMEN RODRIGUEZ GARCÍA",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO",GERIATRÍA
"FORMACIÓN EMPLEO Y REGULACIÓN DE LOS RECURSOS HUMANOS PARA LA SALUD. BASES PARA SU PLANEACIÓN ESTRATÉGICA.","Instituto Nacional De Salud Publica","JULIO M CACHO SALAZAR",,"COMISIÓN INTERINSTITUCIONAL PARA LA FORMACIÓN DE RECURSOS HUMANOS PARA LA SALUD","MEDICINA DEL ENFERMO EN ESTADO CRÍTICO Y TERAPIA INTENSIVA"
"EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACIÓN DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS","Instituto Nacional De Salud Publica","NANCY ABURTO",,"UNIVERSIDAD DE EMORY ATLANTA, GA, EEUU","ACTIVIDAD FÍSICA Y NUTRICIÓN EN NIÑOS"
"FACTORES AMBIENTALES Y SUSCEPTIBILIDAD GENÉTICA ASOCIADOS AL CÁNCER MAMARIO (CAMA) EN MÉXICO","Instituto Nacional De Salud Publica","MARCIA VERÓNICA GALVÁN PORTILLO",Candidato,"INSTITUTO NACIONAL DE SALUD PUBLICA","EPIDEMIOLOGIA, CANCER DE MAMA, CANCER GASTRICO"
"EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACIÓN DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS","Instituto Nacional De Salud Publica","LYNNETTE NEUFELD","Nivel 1","INSTITUTO NACIONAL DE SALUD PUBLICA","EPIDEMIOLOGÍA NUTRICIONAL"
"EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACIÓN DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS","Instituto Nacional De Salud Publica","JUAN RIVERA DOMMARCO","Nivel 2","INSTITUTO NACIONAL DE SALUD PUBLICA","NUTRICIÓN INFANTIL"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","NORIS M. PAVÍA RUIZ",,"HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ","MEDICINA Y PATOLOGIA HUMANA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","RICARDO FIGUEROA DAMIAN","Nivel 1","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO",INFECTOLOGÍA
"ESTUDIO PROSPECTIVO DE CÁNCER DE MAMA EN MÉXICO: MEDICIÓN BASAL Y PRIMER SEGUIMIENTO DETERMINANTES MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRÁFICOS","Instituto Nacional De Salud Publica","ALFREDO HIDALGO","Nivel 1","INSTITUTO NACIONAL DE MEDICINA GENÓMICA",GENOMICA
"FACTORES AMBIENTALES Y SUSCEPTIBILIDAD GENÉTICA ASOCIADOS AL CÁNCER MAMARIO (CAMA) EN MÉXICO","Instituto Nacional De Salud Publica","ANA ISABEL BURGUETE GARCIA",,"INSTITUTO NACIONAL DE SALUD PUBLICA","INMUNOLOGÍA CLINICA"
"ESTUDIO PROSPECTIVO DE CÁNCER DE MAMA EN MÉXICO: MEDICIÓN BASAL Y PRIMER SEGUIMIENTO DETERMINANTES MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRÁFICOS","Instituto Nacional De Salud Publica","GERARDO JIMÉNEZ SÁNCHEZ",,"INSTITUTO NACIONAL DE MEDICINA GENÓMICA","MEDICINA GENÓMICA"
"ESTUDIO PROSPECTIVO DE CÁNCER DE MAMA EN MÉXICO: MEDICIÓN BASAL Y PRIMER SEGUIMIENTO DETERMINANTES MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRÁFICOS","Instituto Nacional De Salud Publica","OSCAR MACEDO",,"INSTITUTO DE SEGURIDAD SOCIAL AL SERVICIO DE LOS TRABAJADORES DEL ESTADO, ESTADO DE MÉXICO","MEDICINA INTERNA"
"ESTUDIO PROSPECTIVO DE CÁNCER DE MAMA EN MÉXICO: MEDICIÓN BASAL Y PRIMER SEGUIMIENTO DETERMINANTES MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRÁFICOS","Instituto Nacional De Salud Publica","ERNESTO SAHAGUN FLORES",,"INSTITUTO DE SEGURIDAD SOCIAL AL SERVICIO DE LOS TRABAJADORES DEL ESTADO ""VALENTÍN GÓMEZ FARÍAS""","MÉDICO INTERNISTA"
"ESTUDIO PROSPECTIVO DE CÁNCER DE MAMA EN MÉXICO: MEDICIÓN BASAL Y PRIMER SEGUIMIENTO DETERMINANTES MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRÁFICOS","Instituto Nacional De Salud Publica","YOLANDA VILLASEÑOR NAVARRO",,"INSTITUTO NACIONAL DE CANCEROLOGÍA",RADIOLOGÍA
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","CARLOS LEONARDO MAGIS RODRÍGUEZ",,"CENTRO NACIONAL PARA LA PREVENCIÓN Y CONTROL DEL VIH-SIDA","SANIDAD PUBLICA"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","GUSTAVO REYES TERÁN","Nivel 2","INSTITUTO NACIONAL DE ENFERMEDAES RESPIRATORIAS","SANIDAD PUBLICA"
"INTEGRACIÓN DE LA INVESTIGACIÓN SOBRE POBLACIONES VULNERABLES AL DESARROLLO DE LOS SISTEMAS DE SALUD EN LOS ÁMBITOS ESTATAL Y DELEGACIONAL. CONSORCIO INDESES.","Instituto Nacional De Salud Publica","HECTOR OCHOA DIAZ LOPEZ","Nivel 1","EL COLEGIO DE LA FRONTERA SUR","ATENCION PRIMARIA Y POLITICAS DE SALUD"
"EVALUACIÓN DE LOS CAMBIOS SECULARES EN LA UTILIZACIÓN DE LOS SERVICIOS DE PREVENCIÓN Y TRATAMIENTO EN EL PRIMER NIVEL EN LA ATENCIÓN DE FACTORES DE RIESGO CARDIOVASCULAR EN POBLACIÓN ABIERTA URBANA DE NIVEL SOCIOECONÓMICO BAJO.","Instituto Nacional De Salud Publica","CARMEN SORIANO CRUZ",,"CENTRO DE ESTUDIOS EN DIABETES","EDUCADORA EN DIABETES"
"FACTORES AMBIENTALES Y SUSCEPTIBILIDAD GENÉTICA ASOCIADOS AL CÁNCER MAMARIO (CAMA) EN MÉXICO","Instituto Nacional De Salud Publica","MARIANO E CEBRIAN GARCIA","Nivel 3","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.",TOXICOLOGIA
"FACTORES AMBIENTALES Y SUSCEPTIBILIDAD GENÉTICA ASOCIADOS AL CÁNCER MAMARIO (CAMA) EN MÉXICO","Instituto Nacional De Salud Publica","JAY A GANDOLFI",,"THE UNIVERSITY OF ARIZONA. COLLEGE OF PHARMACY","TOXICOLOGIA E INMUNOLOGIA"
"EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL","Instituto Nacional De Salud Publica","CARLOS ALBERTO AGUILAR SALINAS","Nivel 2","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y LA NUTRICION ""SALVADOR ZUBIRAN""","ENDOCRINOLOGIA									ENDOCRINOLOGIA"
"EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL","Instituto Nacional De Salud Publica","ALFREDO PONCE DE LEÓN GARDUÑO","Nivel 1","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y LA NUTRICION ""SALVADOR ZUBIRAN""",INFECTOLOGIA
"EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL","Instituto Nacional De Salud Publica","JOSÉ SIFUENTES OSORNIO","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y LA NUTRICION ""SALVADOR ZUBIRAN""",INFECTOLOGIA
"EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL","Instituto Nacional De Salud Publica","EDUARDO SADA DIAZ","Nivel 1","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",INMUNOLOGIA
"EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL","Instituto Nacional De Salud Publica","MARTHA TORRES ROJAS","Nivel 1","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",INMUNOLOGIA
"SISTEMA INFORMÁTICO NEONATAL: MEJORA EN LA CALIDAD DE ATENCIÓN BASADA EN LA EVIDENCIA.","SERVICIOS DE SALUD DE SAN LUIS POTOSI","RAÚL MARTINEZ ZÚÑIGA",,"SECRETARÍA DE SALUD DEL ESTADO DE SAN LUIS POTOSÍ","PEDIATRA INFECTÓLOGO CON MESTRÍA EN SALUD PÚBICA"
"SISTEMA INFORMÁTICO NEONATAL: MEJORA EN LA CALIDAD DE ATENCIÓN BASADA EN LA EVIDENCIA.","SERVICIOS DE SALUD DE SAN LUIS POTOSI","ADRIANA JONGUITUD AGUILAR",,"SERVICIOS DE SALUD DEL ESTADO DE SAN LUIS POTOSI","PEDIATRA NEONATOLOGA"
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","MARGARITA TORRES TAMAYO",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",ENDOCRINOLOGIA
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","HUGO ANTONIO LAVIADA MOLINA",,"UNIVERSIDAD AUTONOMA DE YUCATÁN","NUTRICION METABOLISMO"
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","ARTURO JIMENEZ CRUZ","Nivel 1","UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA",NUTRICION
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","ILEANA GUADALUPE FAJARDO NIQUETE",,"UNIVERSIDAD AUTONOMA DE YUCATÁN",NUTRICION
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","PATRICIA CRAWFORD B",,"UNIVERSIDAD DE CALIFORNIA BERKELEY",OBESIDAD
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","LEONARDO HOMERO MARTÍNEZ SALGADO","Nivel 2","INSTITUTO MEXICANO DEL SEGURO SOCIAL",PEDIATRIA
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","GAIL WOODWARD LOPEZ",,"UNIVERSIDAD DE CALIFORNIA BERKELEY","SALUD PUBLICA"
"ESTRATEGIAS DE PREVENCIÓN Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRÁFICAS DEFINIDAS DE MÉXICO.","UNIVERSIDAD DE GUADALAJARA","ALFREDO DE JESÚS CELIS DE LA ROSA","Nivel 1","UNIVERSIDAD DE GUADALAJARA",EPIDEMIOLOGIA
"ESTRATEGIAS DE PREVENCIÓN Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRÁFICAS DEFINIDAS DE MÉXICO.","UNIVERSIDAD DE GUADALAJARA","ELOY ALFONSO ZEPEDA CARRILLO",,"UNIVERSIDAD AUTÓNOMA DE NAYARIT; SERVICIOS DE SALUD EN MAYARIT","BIOLOGÍA MOLECULAR"
"ESTRATEGIAS DE PREVENCIÓN Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRÁFICAS DEFINIDAS DE MÉXICO.","UNIVERSIDAD DE GUADALAJARA","BÁRBARA VIZMANOS LAMOTTE","Nivel 1","UNIVERSIDAD DE GUADALAJARA",NUTRICION
"ESTRATEGIAS DE PREVENCIÓN Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRÁFICAS DEFINIDAS DE MÉXICO.","UNIVERSIDAD DE GUADALAJARA","SERGIO JAVIER VILLASEÑOR BAYARDO","Nivel 1","UNIVERSIDAD DE GUADALAJARA",PSIQUIATRIA
"ESTRATEGIAS DE PREVENCIÓN Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRÁFICAS DEFINIDAS DE MÉXICO.","UNIVERSIDAD DE GUADALAJARA","LUIS HUACUJA RUIZ",,"UNIVERSIDAD DE GUADALAJARA",HIGADO
"CARACTERIZACIÓN DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTRÓGENO COMO MARCADORES DE RIESGO Y DIAGNÓSTICO DE CÁNCER DE MAMA EN MUJERES MEXICANAS","Universidad Nacional Autonoma De Mexico","HERNANDO MIRANDA HERNÁNDEZ",,"HOSPITAL GENERAL DE MÉXICO","CÁNCER DE MAMA"
"CARACTERIZACIÓN DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTRÓGENO COMO MARCADORES DE RIESGO Y DIAGNÓSTICO DE CÁNCER DE MAMA EN MUJERES MEXICANAS","Universidad Nacional Autonoma De Mexico","EDUARDO MAFFS CASTAÑEDA",,"INSTITUTO NACIONAL DE CANCEROLOGÍA","CIRUJANO ONCÓLOGO"
"CARACTERIZACIÓN DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTRÓGENO COMO MARCADORES DE RIESGO Y DIAGNÓSTICO DE CÁNCER DE MAMA EN MUJERES MEXICANAS","Universidad Nacional Autonoma De Mexico","NOEL CASTAÑEDA SOTO",,"INSTITUTO NACIONAL DE CANCEROLOGÍA",ONCOLOGÍA
"CARACTERIZACIÓN DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTRÓGENO COMO MARCADORES DE RIESGO Y DIAGNÓSTICO DE CÁNCER DE MAMA EN MUJERES MEXICANAS","Universidad Nacional Autonoma De Mexico","ALEJANDRO MOHAR BETANCOURT","Nivel 2","INSTITUTO NACIONAL DE CANCEROLOGIA",CANCER
"CARACTERIZACIÓN DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTRÓGENO COMO MARCADORES DE RIESGO Y DIAGNÓSTICO DE CÁNCER DE MAMA EN MUJERES MEXICANAS","Universidad Nacional Autonoma De Mexico","MANUEL PÉREZ SÁNCHEZ",,"INSTITUTO NACIONAL DE CANCEROLOGÍA",PATÓLOGO
"DETECCIÓN RÁPIDA DE DROGORESISTENCIA DE TUBERCULOSIS POR PCR EN TIEMPO REAL.","Universidad Veracruzana","FRANCISCO JAVIER FUENTES DOMINGUEZ",,"SERVICIOS DE SALUD DEL ESTADO DE VERACRUZ","SANIDAD PUBLICA"
"ESTUDIO INTEGRAL DE LA HIPERTENSIÓN ARTERIAL: ASPECTOS BIOPSICOSOCIALES, EPIDEMIOLÓGICOS, GENÉTICOS, INMUNOLÓGICOS, CULTURALES Y DE ESTILO DE VIDA QUE IMPACTAN EN EL PRONÓSTICO TRATAMIENTO Y CALIDAD DE VIDA DEL PACIENTE HIPERTENSO.","Instituto Mexicano Del Seguro Social","ARACELI LÓPEZ ORTEGA",,"UNIVERSIDAD DE GUADALAJARA","EDUCACIÓN PARA LA SALUD. CIENCIAS DE LA EDUCACIÓN"
"DETECCIÓN RÁPIDA DE DROGORESISTENCIA DE TUBERCULOSIS POR PCR EN TIEMPO REAL.","Universidad Veracruzana","ENRIQUE HERNANDEZ GUERSON",,"INSTITUTO DE SALUD PUBLICA, UNIVERSIDAD VERACRUZANA.","TEORIAS Y METODOS PEDAGOGICOS GENERALES"
"ESTUDIO INTEGRAL DE LA HIPERTENSIÓN ARTERIAL: ASPECTOS BIOPSICOSOCIALES, EPIDEMIOLÓGICOS, GENÉTICOS, INMUNOLÓGICOS, CULTURALES Y DE ESTILO DE VIDA QUE IMPACTAN EN EL PRONÓSTICO TRATAMIENTO Y CALIDAD DE VIDA DEL PACIENTE HIPERTENSO.","Instituto Mexicano Del Seguro Social","MA. DEL CARMEN RODRÍGUEZ VEGA",,"UNIVERSIDAD DE GUADALAJARA","SALUD PÚBLICA"
