"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"ESTUDIO BIOQUIMICO, GENETICO Y MOLECULAR DE LA FUNCION MITOCONDRIAL EN PACIENTES CON ENFERMEDAD DE ALZHEIMER PROBABLE","Instituto Mexicano del Seguro Social","Genaro Gabriel Ortíz",3,"Trastornos Psiquiátricos o Neurológicos"
"EXPOSICION AL HUMO DE TABACO AMBIENTAL EN LUGARES PUBLICOS Y HOGARES EN LAS PRINCIPALES CIUDADES DE MEXICO","Instituto Nacional de Salud Pública","Luz Myriam Reynales Shigematsu",1,"Salud Mental y Adicciones"
"ESTUDIO DE ASOCIACION ENTRE LAS VARIANTES ALELICAS DE LOS GENES CYP2C9, CYP2C19, GGCX Y VKORC1 CON LA DOSIFICACION DE CUMARINICOS EN PACIENTES DE POBLACION MEXICANA.","Instituto Mexicano del Seguro Social","Luis Eduardo Figuera Villanueva",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DESARROLLO Y EVALUACION DE UN MODELO DE PREVENCION DE LA DESNUTRICION Y DE TRASTORNOS DEL DESARROLLO BASADO EN UN ACOMPAÑAMIENTO DOMICILIARIO SEMANAL ENTRE LOS 6 Y 9 MESES DE EDAD EN LOS ALTOS DE CHIAPAS.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Marcos Arana Cedeño",,"Trastornos de la Nutrición"
"SISTEMA NACIONAL INTERACTIVO DE INFORMACION GEOGRAFICA, EPIDEMIOLOGICA Y DE RIESGOS A LA SALUD","Instituto Nacional de Salud Pública","Juan Eugenio Hernández Ávila",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ASOCIACION ENTRE LA DEFICIENCIA DE ACIDO FOLICO , POLIMOFISMOS EN LOS GENES QUE PARTICIPAN EN SU METABOLISMO, HAPLOTIPOS HLA Y VIRUS DEL PAPILOMA HUMANO COMO FACTORES DE RIESGO EN DISPLASIA, CANCER IN SITU Y CANCER INVASOR DE CERVIX","Universidad Autónoma de Yucatán","Thelma Elena Canto Cetina",1,"Neoplasias malignas"
"IDENTIFICACION DE LOS FACTORES DE RIESGO GENETICO PARA DESARROLLAR ARTRITIS IDIOPATICA JUVENIL EN POBLACION MEXICANA.","Instituto Mexicano del Seguro Social","Vicente Baca Ruíz",1,"Enfermedades crónicas o degenerativas"
"DISEÑO CONSTRUCCION Y EVALUACION CLINICA DE PROTESIS MIOELECTRICAS CON 3 GRADOS DE LIBERTAD ACTIVOS PARA AMPUTACION POR ARRIBA DE CODO","Instituto Nacional de Astrofísica, Óptica y Electrónica","Apolo Zeus Escudero Uribe",,"Grupos Vulnerables"
"DIFERENCIACION NEURONAL DE CELULAS MADRE EMBRIONARIAS HUMANAS: APLICACIONES EN ENFERMEDADES NEURODEGENERATIVAS.","Universidad Nacional Autónoma de México","Jaime Ivan Velasco Velázquez",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DE JOVEN A JOVEN. INTERVENCION INTERCULTURAL PARA PROMOVER LA SALUD MENTAL DE LOS ADOLESCENTES ÑAHÑU. FASE 1 CREACION DE LOS RECURSOS.","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Consuelo García Andrade",,"Entorno Social y Transición Demográfica"
"DISTRIBUCION DE GENES SAP´S (CODIFICANTES DE ASPARTIL PROTEINASAS SECRETADAS) EN AISLADOS MEXICANOS DE CANDIDA SPP, SU USO COMO MARCADORES DE VIRULENCIA Y PERTINENCIA COMO BLANCOS TERAPEUTICOS","Instituto Politécnico Nacional","María de Lourdes Villa Tanaca",1,"Enfermedades Infecciosas y Parasitarias"
"CREACION DE UNA UNIDAD PARA LA PRODUCCION DE ROEDORES MODIFICADOS GENETICAMENTE","Universidad Nacional Autónoma de México","Luis Fernando Covarrubias Robles",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EMPLEO DE LECTINAS COMO ALTERNATIVA AL DIAGNOSTICO DE CANCER DE MAMA","Universidad Autónoma Benito Juárez de Oaxaca","Pedro Antonio Hernández Cruz",1,"Neoplasias malignas"
"ESTRATEGIA DE INTERVENCION PARA LA REDUCCION DE LA GRASA ABDOMINAL EN MUJERES OBESAS: USO DEL ACIDO LINOLEICO CONJUGADO","Centro de Investigación en Alimentación y Desarrollo AC","Silvia Yolanda Moya Camarena",1,"Trastornos de la Nutrición"
"ESTRATEGIAS DE PREVENCION Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRAFICAS DEFINIDAS DE MEXICO.","Universidad de Guadalajara","Arturo Panduro Cerda",3,"Trastornos de la Nutrición"
"TELEASISTENCIA EN DIÀLISIS PERITONEAL","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Julio Kaji Kiyono",,"Enfermedades crónicas o degenerativas"
"EVALUACION DE RIESGO GENETICO PARA LITIASIS URINARIA ASOCIADO A POLIMORFISMOS EN LOS GENES ZNF365, VEGF Y VDR EN UNA POBLACION DE YUCATAN.","Fundación Mexicana para la Salud","Martha María de los Ángeles Medina Escobedo",,"Enfermedades crónicas o degenerativas"
"FACTORES AMBIENTALES Y SUSCEPTIBILIDAD GENETICA ASOCIADOS AL CANCER MAMARIO (CAMA) EN MEXICO","Instituto Nacional de Salud Pública","Lizbeth Teresita López Carrillo",3,"Neoplasias malignas"
"DETECCION RAPIDA DE DROGORESISTENCIA DE TUBERCULOSIS POR PCR EN TIEMPO REAL.","Universidad Veracruzana","Roberto Zenteno Cuevas",1,"Enfermedades del rezago y emergentes"
"EVALUACION DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCION DE LA OBESIDAD","Universidad Autónoma de Baja California","Montserrat Bacardi Gascón",2,"Trastornos de la Nutrición"
"SISTEMA INFORMATICO NEONATAL: MEJORA EN LA CALIDAD DE ATENCION BASADA EN LA EVIDENCIA.","Servicios de Salud de San Luis Potosí","Adriana Jonguitud Aguilar",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACION DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS","Instituto Nacional de Salud Pública","Salvador Francisco Villalpando Hernández",3,"Trastornos de la Nutrición"
"ESTUDIO INTEGRAL DE LA HIPERTENSION ARTERIAL: ASPECTOS BIOPSICOSOCIALES, EPIDEMIOLOGICOS, GENETICOS, INMUNOLOGICOS, CULTURALES Y DE ESTILO DE VIDA QUE IMPACTAN EN EL PRONOSTICO, TRATAMIENTO Y CALIDAD DE VIDA DEL PACIENTE HIPERTENSO.","Instituto Mexicano del Seguro Social","Jose Sánchez Corona",3,"Enfermedades crónicas o degenerativas"
"GENETICA DE LA OBESIDAD EN LA INFANCIA Y ADOLESCENCIA","Instituto Mexicano del Seguro Social","Miguel Cruz López",2,"Trastornos de la Nutrición"
"CALIDAD DE LA ATENCION MEDICA EN LOS SERVICIOS GERIATRICOS Y MODULOS GERONTOLOGICOS DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO.","Instituto Nacional de Salud Pública","Gustavo Humberto Nigenda López",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"CORRELACION ENTRE EL USO DE RECURSOS, COSTOS Y LA MORBI-MORTALIDAD EN LAS UNIDADES DE TERAPIA INTENSIVA MEXICANAS.","Instituto Mexicano del Seguro Social","Luis David Sánchez Velázquez",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"MODELO MULTIGENICO DE IDENTIFICACION DE MUJERES DE ALTO RIESGO A DESARROLLAR CANCER DE MAMA POR MEDIO DEL ANALISIS POLIMORFICO DE COMPT, CYP17, CYP1A1, CYP19 Y RECEPTOR DE ESTROGENO","Centro Nacional de Programas Preventivos y Control de Enfermedades","Elsa Josefina Sarti Gutiérrez",1,"Neoplasias malignas"
"ESTUDIO PROSPECTIVO DE CANCER DE MAMA EN MEXICO: MEDICION BASAL Y PRIMER SEGUIMIENTO, DETERMINANTES, MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRAFICOS","Instituto Nacional de Salud Pública","Isabelle Francoise Marie Pierr Romieu Pagezy",3,"Neoplasias malignas"
"INTEGRACION DE LA INVESTIGACION SOBRE POBLACIONES VULNERABLES AL DESARROLLO DE LOS SISTEMAS DE SALUD EN LOS AMBITOS ESTATAL Y DELEGACIONAL. CONSORCIO INDESES.","Instituto Nacional de Salud Pública","Miguel Ángel González Block",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"PROMOCION DE ACTIVIDAD FISICA ADECUADA Y ALIMENTACION SALUDABLE EN EL SISTEMA EDUCATIVO MEXICANO PARA LA PREVENCION DE OBESIDAD","Instituto Nacional de Salud Pública","Juan Angel Rivera Dommarco",3,"Trastornos de la Nutrición"
"FORMACION, EMPLEO Y REGULACION DE LOS RECURSOS HUMANOS PARA LA SALUD. BASES PARA SU PLANEACION ESTRATEGICA.","Instituto Nacional de Salud Pública","Gustavo Humberto Nigenda López",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"CARACTERIZACION EPIDEMIOLOGICA DE TUBERCULOSIS LATENTE Y MARCADORES MOLECULARES DE PROGRESION A TUBERCULOSIS PULMONAR EN PACIENTES CON DIABETES MELLITUS TIPO 2 DE DURANGO Y ZACATECAS","Instituto Mexicano del Seguro Social","Jose Antonio Enciso Moreno",2,"Enfermedades del rezago y emergentes"
"RESCATANDO LA EXPERIENCIA DE LA ""CASA DE LA MUJER INDIGENA"": SISTEMATIZACION Y EVALUACION DEL PROCESO","Instituto Nacional de Salud Pública","Blanca Estela Pelcastre Villafuerte",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"BUSQUEDA DE INDICADORES DE RESULTADOS QUIRURGICOS PARA MEDIR Y MEJORAR LA CALIDAD DE LOS SERVICIOS QUIRURGICOS EN LOS HOSPITALES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL. ESTUDIO PILOTO EN 3 HOSPITALES..","Instituto Mexicano del Seguro Social","María Enriqueta Barido Murguía",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"MODELO DE COLABORACION IMSS-EMPRESAS PARA LA PROMOCION DE HABITOS Y CONDUCTAS SALUDABLES DE LOS TRABAJADORES","Instituto Mexicano del Seguro Social","Victor Hugo Borja Aburto",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"SISTEMA INDIVIDUALIZADO DE MONITOREO, EVALUACION Y MEJORA DE LA ATENCION EN UNIDADES DE MEDICINA FAMILIAR","Instituto Mexicano del Seguro Social","Ricardo Enrique Pérez Cuevas",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"DISEÑO Y EVALUACION DE UN MODELO DE ATENCION SOCIAL A LA SALUD DE LOS/LAS ADULTOS/AS MAYORES DERECHOHABIENTES DEL IMSS","Instituto Mexicano del Seguro Social","Ricardo Enrique Pérez Cuevas",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"CARACTERIZACION DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTROGENO COMO MARCADORES DE RIESGO Y DIAGNOSTICO DE CANCER DE MAMA EN MUJERES MEXICANAS","Universidad Nacional Autónoma de México","Alfonso León Del Río",2,"Neoplasias malignas"
"DETERMINACION DE INFECCION MUTUA DE TUBERCULOSIS ENTRE HUMANOS Y BOVINOS EN POBLACIONES DE ALTO RIESGO","Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias","Feliciano Milián Suazo",1,"Enfermedades del rezago y emergentes"
"SINTESIS ESTEREOSELECTIVA Y CARACTERIZACION FARMACOLOGICA DEL(S, R)HOMOHIDROXIMETOPROLOL","Centro de Investigación y de Estudios Avanzados del IPN","Enrique Hong Chong",3,"Enfermedades crónicas o degenerativas"
"EVALUACION DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISION Y DESARROLLO DE LA TUBERCULOSIS EN POBLACION GENERAL","Instituto Nacional de Salud Pública","María de Lourdes García García",3,"Enfermedades del rezago y emergentes"
"VALORACION DE MARCADORES GENETICOS DE RIESGO POBLACIONAL PARA LA INSUFICIENCIA RENAL CRONICA","Universidad Nacional Autónoma de México","María Teresa Tusie Luna",3,"Enfermedades crónicas o degenerativas"
"EVALUACION DE LOS CAMBIOS SECULARES EN LA UTILIZACION DE LOS SERVICIOS DE PREVENCION Y TRATAMIENTO EN EL PRIMER NIVEL EN LA ATENCION DE FACTORES DE RIESGO CARDIOVASCULAR EN POBLACION ABIERTA URBANA DE NIVEL SOCIOECONOMICO BAJO.","Instituto Nacional de Salud Pública","Clicerio González Villalpando",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"INVESTIGACION INTEGRAL SOBRE LA PREVENCION, MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCION CON TUBERCULOSIS EN MEXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional de Salud Pública","Sergio Antonio Bautista Arredondo",1,"Enfermedades del rezago y emergentes"
"INMUNOTERAPIA GENICA PARA EL CONTROL DE LA TUBERCULOSIS PULMONAR","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Rogelio Enrique Hernández Pando",3,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACION DE MECANISMOS UTILIZADOS POR MACROFAGOS PARA MATAR INTRACELULARMENTE A MYCOBACTERIUM TUBERCULOSIS","Instituto Politécnico Nacional","Iris Citlali Elvira Estrada García",2,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACION DE FACTORES DE RIESGO DEL HUESPED, EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional de Salud Pública","María de Lourdes García García",3,"Enfermedades Infecciosas y Parasitarias"
"ENSAYO CLINICO ALEATORIO SOBRE EL USO DE PROBIOTICOS EN PACIENTES CON CANCER CERVICOUTERINO EN ETAPAS CLINICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE","Instituto Nacional de Cancerología","Lucely del Carmen Cetina Pérez",2,"Neoplasias Malignas"
"DETERMINACION DE MARCADORES MOLECULARES EN LINFOMAS NO-HODGKIN Y SU CORRELACION CON LA RESPUESTA AL TRATAMIENTO.","Instituto Mexicano del Seguro Social","Mario Israel Vega Paredes",2,"Neoplasias Malignas"
"OXIDO NITRICO Y DISFUNCION COGNOSCITIVA EN ADULTOS JOVENES CON TRASTORNOS PSICOTICOS","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Jesus Ramírez Bermúdez",2,"Trastornos Psiquiátricos o Neurológicos"
"EFECTOS DE LOS FLAVONOIDES Y EL TELMISARTAN EN PROCESOS DE REMODELACION CARDIACA EN SUJETOS JOVENES DISLIPIDEMICOS CON HIPERTENSION LEVE A MODERADA","Universidad de Guadalajara","Marina María de Jesús Romero Prado",1,"Enfermedades crónicas o degenerativas"
"EL CANCER DE MAMA DESDE LA PERSPECTIVA DE ADOLESCENTES: EXPLORACION DE IMAGEN Y SIGNIFICADOS PARA UNA PROPUESTA EDUCATIVA","Instituto Mexicano del Seguro Social","Amparo Tapia Curiel",,"Neoplasias Malignas"
"CORRELACION GENETICA ENTRE LOS POLIMORFISMOS DE LOS GENES APOPROTEINA E, APOPROTEINA B Y PROTEINA MICROSOMAL DE TRANSFERENCIA DE TRIGLICERIDOS, CON EL PERFIL DE LIPIDOS EN PACIENTES CON HIPERLIPIDEMIA FAMILIAR COMBINADA","Instituto Mexicano del Seguro Social","María Teresa Magaña Torres",1,"Enfermedades crónicas o degenerativas"
"DESARROLLO DE UN PROCESO BIOTECNOLOGICO PARA LA PRODUCCION DEL PRECURSOR SHIKIMATO Y DE UN PROCESO QUIMICO PARA SU TRANSFORMACION EN EL ANTIVIRAL OSELTAMIVIR.","Universidad Nacional Autónoma de México","Francisco Gonzálo Bolivar Zapata",3,Influenza
"USO DE MARCADORES GENETICOS PARA LA DETECCION TEMPRANA, PRONOSTICO Y SEGUIMIENTO DE PACIENTES CON CANCER DE PROSTATA POR MEDIO DE METODOS NO INVASIVOS","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Osvaldo Maximo Mutchinick Baringoltz",3,"Neoplasias Malignas"
"ESTUDIO INTEGRAL DEL ESTADO DE SALUD EN INDIVIDUOS OCUPACIONALMENTE EXPUESTOS A PLAGUICIDAS: BIOMARCADORES DE EFECTO,  EXPOSICION Y SUCEPTIBILIDAD GENETICA","Universidad Autónoma de Nayarit","Aurora Elizabeth Rojas García",1,"Grupos Vulnerables"
"CARACTERIZACION DEL PROCESO INFLAMATORIO DE LA ENFERMEDAD ATEROSCLEROSA CAUSADO POR LIPOPROTEINAS DE BAJA DENSIDAD OXIDADA A TRAVES DE LOS RECEPTORES SEMEJANTES A TOLL EN CELULAS PROVENIENTES DE PACIENTES CON SINDROME CORONARIO AGUDO","Instituto Mexicano del Seguro Social","Francisco Antonio Blanco Fávela",2,"Enfermedades crónicas o degenerativas"
"IDENTIFICACION A NIVEL MOLECULAR DE MICOBACTERIAS AISLADAS DE PACIENTES INMUNOCOMPETENTES E INMUNODEPRIMIDOS EN LA ZONA ORIENTE DE LA CD. DE MEXICO.","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","María del Rocío López Álvarez",,"Enfermedades Infecciosas y Parasitarias"
"EFECTO DE LA TERAPIA CON VIBRACION EN LA POLINEUROPATIA DIABETICA","Instituto Nacional de Rehabilitación","Jorge Ernesto Letechipia Moreno",,"Enfermedades crónicas o degenerativas"
"""SIMVASTATINA MAS INULINA VS SIMVASTATINA MAS EZETIMIBE EN EL TRATAMIENTO DE DISLIPIDEMIAS""","Instituto Mexicano del Seguro Social","Esperanza Martínez Abundis",3,"Enfermedades crónicas o degenerativas"
"DESARROLLO Y EVALUACION DE SISTEMAS BASADOS EN TECNOLOGIAS DE REALIDAD VIRTUAL PARA EL TRATAMIENTO DE TRASTORNOS DE ANSIEDAD.","Universidad Nacional Autónoma de México","María Georgina Cárdenas López",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"RESISTENCIA FARMACOCINETICA-FARMACODINAMICA EN LA TERAPIA DEL CANCER","Instituto Nacional de Cancerología","Patricia García López",1,"Neoplasias Malignas"
"VALOR DE LAS VASOINHIBINAS EN LA PREDICCION Y PATOGENESIS DE LA PREECLAMPSIA","Universidad Nacional Autónoma de México","María del Carmen Clapp Jiménez Labora",3,"Salud Reproductiva y Perinatal"
"INHIBICION LOCAL DEL FACTOR DE NECROSIS TUMORAL ALFA (TNF) COMO COADYUVANTE DEL TRATAMIENTO DE LA QUERTITIS ULCERATIVA PERIFERICA ASOCIADA A ENFERMEDADES AUTOINMUNES","Centro de Investigación y de Estudios Avanzados del IPN","Vianney Francisco Ortíz Navarrete",2,"Enfermedades crónicas o degenerativas"
"ESTUDIO FASE III,  ALEATORIO MULTICENTRICO, QUE COMPARA QUIMIOTERAPIA Y RADIOTERAPIA CONCURRENTE CON Y SIN NITROGLICERINA, EN PACIENTES CON CANCER DE PULMON DE CELULAS NO PEQUEÑAS LOCALMENTE AVANZADO","Instituto Nacional de Cancerología","Oscar Gerardo Arrieta Rodríguez",2,"Neoplasias Malignas"
"EFECTO A LARGO PLAZO DE LA SUPLEMENTACION CON  ACIDOS GRASOS OMEGA-3 EN PACIENTES PEDIATRICOS HIPERTRIGLICERIDEMICOS CON SOBREPESO U OBESIDAD.","Hospital Infantil de México Federico Gómez","Georgina Toussaint Martínez De Castro",,"Enfermedades crónicas o degenerativas"
"PREDICCION DE RECAIDA EN NIÑOS CON LEUCEMIA AGUDA LINFOBLASTICA UTILIZANDO LA EXPRESION DEL GEN CASP8AP2 ASOCIADA A ENFERMEDAD MINIMA RESIDUAL","Instituto Nacional de Pediatria","Silvia Patricia Pérez Vera",1,"Neoplasias Malignas"
"DESARROLLO DE UNA METODOLOGIA PARA DIAGNOSTICO Y FOMENTO DE LA ADHERENCIA AL TRATAMIENTO DE PACIENTES CON ENFERMEDADES CRONICAS Y EVALUACION DE SU IMPACTO SOBRE FACTORES DE RIESGO CARDIOVASCULAR.","Instituto Nacional de Salud Pública","Simon Barquera Cervera",2,"Enfermedades crónicas o degenerativas"
"DESARROLLO DE ELECTROCARDIOGRAFO INALAMBRICO EN LA BANDA DE 2.4 GHZ PARA MULTIPLES PACIENTES","Centro de Ingeniería y Desarrollo Industrial","Sadot Arciniega Montiel",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACION CONTRA SARAMPION EN AEROSOL EN NIÑOS DE 12 MESES","Instituto Nacional de Salud Pública","Manuel Palacios Martínez",1,"Enfermedades Infecciosas y Parasitarias"
"REGENERACION TISULAR GUIADA MEDIANTE UNA PROTESIS COMPUESTA DE ACIDO POLIGLICOLICO (NEUROTUBE) Y SUS EFECTOS CON PROGESTERONA IN SITU EN LA REPARACION PRIMARIA DE SECCIONES TRAUMATICAS BAJAS DEL NERVIO MEDIANO Y CUBITAL EN HUMANOS.","Instituto Mexicano del Seguro Social","María Estela Chávez Delgado",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EFECTO DE LA DIACEREINA SOBRE LA SECRECION DE INSULINA EN PACIENTES CON DIABETES MELLITUS TIPO 2 Y SOBREPESO U OBESIDAD","Instituto Mexicano del Seguro Social","Manuel González Ortíz",3,"Enfermedades crónicas o degenerativas"
"EVALUACION  DE  UN PROGRAMA DE INTERRUPCIONES ESTRUCTURADAS  DE TARAA EN CICLOS DE 4/12 SEMANAS EN NIÑOS  CON  SIDA  Y  CARGA VIRAL  CRONICAMENTE  INDETECTABLE","Instituto Mexicano del Seguro Social","Gerardo del Carmen Palacios Saucedo",1,"Enfermedades Infecciosas y Parasitarias"
"EVALUCION DE MARCADORES DE RIESGO GENETICOS, BIOQUIMICOS Y ANTROPOMETRICOS EN PACIENTES OBESOS Y DIABETICOS CON HIGADO GRASO","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Nory Omayra Dávalos Rodríguez",1,"Enfermedades crónicas o degenerativas"
"IMPORTANCIA DE LOS ANTECEDENTES FAMILIARES DE DIABETES MELLITUS TIPO 2 EN LA DISFUNCION DE LA CELULA ENDOTELIAL. EVALUACION DEL METABOLISMO DE LA GLUCOSA Y SU RELACION CON LA SINTESIS DE OXIDO NITRICO Y EL ESTRES OXIDATIVO EN LA CELULA ENDOTELIAL.","Instituto Nacional de Enfermedades Respiratorias","Hipolito Noe Alvarado Vásquez",1,"Enfermedades crónicas o degenerativas"
"EVALUACION DE RECURRENCIA EN PACIENTES CON CARCINOMA CERVICOUTERINO EN ETAPAS CLINICAS IIB A IIIB POSTERIOR AL TRATAMIENTO CON QUIMIO-RADIACION O RADIOTERAPIA SOLA","Instituto Mexicano del Seguro Social","Dulce Maria Hernández Hernández",1,"Neoplasias Malignas"
"ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ACIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.","Universidad de Guadalajara","Erika Martínez López",1,"Enfermedades crónicas o degenerativas"
"ANALISIS DE LA CAPACIDAD DE ONGS PARA IMPLEMENTAR ESTRATEGIAS DE PREVENCION Y DE ATENCION INTEGRAL DE VIH/SIDA PARA POBLACIONES MOVILES: EL CASO DE MEXICO Y CENTROAMERICA.","Instituto Nacional de Salud Pública","Jesica Gómez Jáuregui Abdo",,"Enfermedades crónicas o degenerativas"
"APLICACIONES NANOTECNOLOGICAS PARA LA OPTIMIZACION DEL TRATAMIENTO DE LA TUBERCULOSIS","Universidad Autónoma de Nuevo León","Sergio Arturo Galindo Rodríguez",1,"Enfermedades Infecciosas y Parasitarias"
"ANALISIS POLITICO DE LOS CAMBIOS EN LOS ESPACIOS DE DECISION Y SUS EFECTOS SOBRE EL DESEMPEÑO DEL SISTEMA NACIONAL DE PROTECCION SOCIAL EN SALUD EN LOS ESTADOS, 2000-2006","Instituto Nacional de Salud Pública","Emmanuel Orozco Núñez",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"MARCADORES NUTRICIOS Y PSICO-SOCIALES DEL SINDROME DE FRAGILIDAD EN ADULTOS MAYORES MEXICANOS","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Liliana Ruíz Arregui",,"Enfermedades crónicas o degenerativas"
"PARTICIPACION DE LA FOSFATASA DE LIPIDOS FOSFATADOS-3 EN EL DESARROLLO VASCULAR","Universidad Nacional Autónoma de México","Diana Maria Escalante Alcalde",2,"Neoplasias Malignas"
"DISEÑO Y ESTUDIO DE CRIOPROTECTOR BASADO EN PROTEINAS ANTICONGELANTES PARA CRIOPRESERVACION DE CORAZON  CON FINES DE TRASPLANTE","Centro Médico Nacional 20 de Noviembre","Abel Archúndia García",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"INGENIERÌA TISULAR PARA LA FORMACION DE HUESO UTIL PARA AUTOTRANSPLANTE","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Rogelio Enrique Hernández Pando",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ESTANDARIZACION Y TRANSFERENCIA TECNOLOGICA DE LOS PROCESOS DE FABRICACION DE LOS SISTEMAS REDUCTORES DE PRESION PARA LESIONADOS MEDULARES.","Instituto Nacional de Rehabilitación","Diana Alicia Gayol Mérida",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EFECTO DE PLASMAFERESIS PRETRASPLANTE SOBRE LA INCIDENCIA DE RECHAZO HUMORAL AGUDO EN PACIENTES ALTAMENTE SENSIBILIZADOS Y ANALISIS DEL COMPORTAMIENTO DE ANTICUERPOS ANTI-HLA.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Luis Eduardo Morales Buenrostro",2,"Enfermedades crónicas o degenerativas"
"DETERMINACION TEMPRANA DEL CANCER DE MAMA USANDO LA ESPECTROSCOPIA RAMAN DE SUPERFICIE AMPLIFICADA CON SENSORES METALICOS NANOESTRUCTURADOS","Universidad de Guadalajara","Jose Luis González Solís",1,"Neoplasias Malignas"
"ELABORACION DE UNA VACUNA RECOMBINANTE POLIVALENTE CONTRA VARIEDADES MEXICANAS DEL VIRUS DE INFLUENZA AVIAR UTILIZANDO COMO VECTOR EL VIRUS NEWCASTLE","Investigación Aplicada","José Andrés Morales Garzón",,Influenza
"TRATAMIENTO LOCAL DE TUMORES MALIGNOS POR RADIOFRECUENCIA ASISTIDO POR NAVEGACION","Instituto Nacional de Rehabilitación","Eric Joseph Hazan Lasri",,"Neoplasias Malignas"
"ESTUDIO COMPARATIVO DE LA EFICACIA EN EL CONTROL DE CRISIS Y EVOLUCION PSICOMETRICA DE DOS SISTEMAS DE CALLOSOTOMIA (TECNICA QUIRURGICA CONVENCIONAL VS RADIOCIRUGIA).","Hospital Infantil de México Federico Gómez","Saúl Jesús Garza Morales",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACION Y DESARROLLO DE UN METODO MOLECULAR VINCULADO CON UN AGAR CROMOGENICO PARA LA APLICACION EN BROTES EPIDEMIOLOGICOS CAUSADOS POR VIBRIO PARAHAEMOLYTICUS TOXIGENICO","Laboratorio Estatal de Salud Pública de Sinaloa","Vicente Adrián Canizalez Román",1,"Enfermedades Infecciosas y Parasitarias"
