TITULO DEL PROYECTO,INSTITUCION,RESPONSABLE,NIVEL,DEMANDA
"EVALUACIÓN DE LA LATENCIA AL ESTIMULO VISUAL, AUDITIVO Y SOMATOSENSORIAL EN PACIENTES BRADICINÉTICOS CON ENFERMEDAD DE PARKINSON SOMETIDOS A PALIDOTOMIA UNILATERAL","Hospital General ""Dr. Manuel Gea González""",Fiacro Jiménez Ponce,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Monitoreo de metales y daño a la salud en población infantil de Yucatán.,"Universidad Nacional Autónoma De México, UNAM",Flor Elisa del Rosario Arcega Cabrera,1,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
"EFICACIA DE LA DISCOGRAFÍA TERAPÉUTICA Y DE LA CIRUGÍA DE FUSIÓN CON INSTRUMENTACIÓN EN PACIENTES CON DOLOR LUMBAR Y/O CIÁTICO CRÓNICO DE ORIGEN DISCÓGENO, REFRACTARIO A TRATAMIENTO CONSERVADOR.","Centro Médico Nacional 20 de Noviembre, ISSSTE",Flora del Carmen Ojeda Ornelas,,Grupos Vulnerables
RELACIÓN ENTRE FLORA BACTERIANA INTESTINAL INFLAMACIÓN Y SÍNDROME DE INTESTINO IRRITABLE: EFECTO DEL USO DE UNA BEBIDA LACTEA CON Lactobacillus casei,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",FLORENCIA VARGAS VORACKOVA,3,Enfermedades Infecciosas y Parasitarias
EFICACIA DE INICIADORES PARA LA DETECCIÓN DE DIFERENTES REGIONES DEL VIRUS DE LA HEPATITIS B EN PACIENTES Y DONADORES DE SANGRE REACTIVOS A ANTI-CORE Y AgVHBs NO DETECTABLE.,Instituto Mexicano del Seguro Social,Francisca Sosa Jurado,1,Enfermedades infecciosas y parasitarias
CARACTERIZACIÓN DEL PROCESO INFLAMATORIO DE LA ENFERMEDAD ATEROSCLEROSA CAUSADO POR LIPOPROTEÍNAS DE BAJA DENSIDAD OXIDADA A TRAVÉS DE LOS RECEPTORES SEMEJANTES A TOLL EN CÉLULAS PROVENIENTES DE PACIENTES CON SÍNDROME CORONARIO AGUDO,Instituto Mexicano del Seguro Social,Francisco Antonio Blanco Fávela,2,Enfermedades crónicas o degenerativas
Cuantificación in vivo de GABA y Glutamato en pacientes con primer episodio de esquizofrenia: estudio longitudinal con espectroscopia por resonancia magnética,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",FRANCISCO CAMILO DE LA FUENTE SANDOVAL,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
TRANSPLANTE MENISCAL EN PACIENTES CON MENISECTOMÍA COMPLETA CON SINTOMATOLOGÍA INCIPIENTE,Instituto Nacional de Rehabilitación,Francisco Cruz López,,Enfermedades crónicas o degenerativas
SUPERVIVENCIA Y DETERMINANTES EN ADULTOS DE LA ZONA METROPOLITANA DE LA CIUDAD DE MÉXICO CON EPOC Y OTROS PADECIMIENTOS RESPIRATORIOS,Instituto Nacional de Enfermedades Respiratorias,Francisco Franco Marina,2,Enfermedades crónicas o degenerativas
Diagnóstico no invasivo de la enfermedad de Alzheimer a través de la determinación de la proteína tau patológica en líquido cefalorraquídeo.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Francisco García Sierra,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
DESARROLLO DE UN PROCESO BIOTECNOLÓGICO PARA LA PRODUCCIÓN DEL PRECURSOR SHIKIMATO Y DE UN PROCESO QUÍMICO PARA SU TRANSFORMACIÓN EN EL ANTIVIRAL OSELTAMIVIR.,"Universidad Nacional Autónoma De México, UNAM",Francisco Gonzálo Bolivar Zapata,3,Influenza
OPTIMIZACIÓN Y ESCALAMIENTO DE LOS PROCESOS BIOTECNOLÓGICO PARA LA PRODUCCIÓN DEL PRECURSOR SHIKIMATO Y QUÍMICO PARA LA TRANSFORMACIÓN DE ESTE COMPUESTO EN EL ANTIVIRAL OSELTAMIVIR,"Universidad Nacional Autónoma De México, UNAM",Francisco Gonzálo Bolivar Zapata,3,Influenza
ESTUDIO MULTICÉNTRICO DEL ESPECTRO ETIOLÓGICO DE LA UROLITIÁSIS EN NIÑOS,Hospital Infantil De México Federico Gómez,Francisco Hernany Velásquez Forero,1,Enfermedades crónicas o degenerativas
El canal de potasio Eag1 como un potencial blanco terapéutico para el Cáncer cérvico-uterino y su expresión en citologías cervicales de pacientes bajo influencia estrogenómica o antiestrogenómica,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Francisco Javier Camacho Arroyo,1,Neoplasias Malignas
"EDUCACIÓN PARA LA PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS (ETAS): EVALUACIÓN DE CONOCIMIENTOS SANITARIOS E IMPLEMENTACIÓN DE UNA ESTRATEGIA EDUCATIVA CON MANIPULADORES DE ALIMENTOS PARA PREVENIR ETAS EN LA CIUDAD DE MÉRIDA, YUCATÁN.",Universidad Autónoma De Yucatán,Francisco Javier Escobedo Ortegón,1,Enfermedades Infecciosas y Parasitarias
DIAGNÓSTICO MOLECULAR DE LA AGAMMAGLOBULINEMIA LIGADA AL CROMOSOMA X EN LA POBLACIÓN MEXICANA.,Instituto Nacional de Pediatría,FRANCISCO JAVIER ESPINOSA ROSALES,1,Desarrollo y Evaluación de Tecnologías para la Salud
"SEROENCUESTA, CARACTERIZACIÓN CLÍNICA Y MODELAJE DE LA ENCEFALITIS EQUINA VENEZOLANA EN POBLACIÓN HUMANA DE LA COSTA DE CHIAPAS DESPUES DEL HURACÁN STAN",Universidad Autónoma De Chiapas,Francisco Javier Ramírez Aguilar,Candidato,Enfermedades Infecciosas y Parasitarias
"ESTUDIO SOBRE LA HISTORIA NATURAL DE ÚLCERA DUODENAL Y CÁNCER GÁSTRICO ASOCIADOS A LA INFECCIÓN POR HELICOBACTER PYLORI; FACTORES AMBIENTALES, DEL HUÉSPED Y DE LA BACTERIA ASOCIADOS A ENFERMEDAD.",Instituto Mexicano del Seguro Social,Francisco Javier Torres López,3,Neoplasias malignas
"INFECCIÓN, INFLAMACIÓN Y CÁNCER; ESTUDIO PARA EL DESARROLLO DE PRUEBAS DIAGNÓSTICAS Y LA IDENTIFICACIÓN DE BIOMARCADORES DE RIESGO, PRONÓSTICO Y PREVENCIÓN.",Instituto Mexicano del Seguro Social,Francisco Javier Torres López,3,Neoplasias Malignas
PERFIL DE EXPRESIÓN DE MicroRNAS EN PACIENTES PEDIÁTRICOS CON TUMORES DE SISTEMA NERVIOSO CENTRAL,Hospital Infantil De México Federico Gómez,Francisco Jesús Arenas Huertero,1,Neoplasias malignas
DESARROLLO DE UN MODELO DE CRIOPRESERVACIÓN DE ALOINJERTOS HUMANOS CON FINES DE TRASPLANTE: ESTUDIO MULTICÉNTRICO PARA EVALAUAR LA SEGURIDAD Y ESTABILIDAD BIOLÓGICA.,Instituto Nacional de Rehabilitación,Francisco Martínez Flores,,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
CARACTERÍSTICAS Y NECESIDADES DEL CUIDADOR PRIMARIO EN ENFERMEDADES NEURODEGENERATIVAS. DISEÑO Y EVALUACIÓN DE UN PROGRAMA DE INTERVENCIÓN,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Francisco Paz Rodríguez,1,Entorno Social y Transición Demográfica
DEFINICIÓN ANATOMOFISIOLÓGICA DEL ÁREA SUBTALÁMICA POSTERIOR EN EL HOMBRE Y SUS IMPLICACIONES EN LA FISIOPATOLOGÍA Y TRATAMIENTO QUIRÚRGICO DE LA ENFERMEDAD DE PARKINSON,"Hospital General ""Dr. Manuel Gea González""",Francisco Velasco Campos,3,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
FILTRADO CÉLULAR PARA LA SELECCIÓN DE ESPERMATOZOIDES NO APOPTÓTICOS DE PACIENTES CON INFERTILIDAD.,Instituto Nacional de Perinatología,Gabriel Arteaga Troncoso,1,Desarrollo y Evaluación de Tecnologías para la Salud
EVALUACIÓN DE LA POTENCIALIDAD DE UNA FORMA DE USO DE LA GRANADA ROJA (Punica granatum L.) EN EL CONTROL DE LA EUGLICEMIA E INHIBICIÓN DE LA FORMACIÓN DE ATEROSCLEROSIS EMPLEANDO UN MODELO ANIMAL DIABETIZADO Y ATEROGÉNICO,Universidad Autónoma Del Estado de Hidalgo,Gabriel Betanzos Cabrera,1,Enfermedades crónicas o degenerativas
ESTUDIO COMPARATIVO DE LA AMPLITUD DEL COMPONENTE N1/P2 DEL POTENCIAL AUDITIVO EVOCADO Y L-TRIPTÓFANO PLASMÁTICO LIBRE EN LOS PACIENTES POST- INFARTADOS DEL MIOCARDIO CON Y SIN DEPRESIÓN,Instituto Mexicano del Seguro Social,Gabriel Manjarréz Gutiérrez,2,Desarrollo y Evaluación de Tecnologías para la Salud
AUTOINMUNIDAD A COMPONENTES DEL SISTEMA INMUNE Y SU IMPLICACIÓN EN ENFERMEDADES INFECCIOSAS.,"Universidad Nacional Autónoma De México, UNAM",Gabriela Bárcenas Morales,1,Desarrollo y Evaluación de Tecnologías para la Salud
AUTOINMUNIDAD COMO UNA CAUSA DE SUSCEPTIBILIDAD SELECTIVA A INFECCIONES MICOBACTERIANAS EN HUMANOS.,"Universidad Nacional Autónoma De México, UNAM",Gabriela Bárcenas Morales,1,Enfermedades Infecciosas y Parasitarias
Identificación de biomarcadores de adenocarcinoma pulmonar en el proteoma de saliva,Instituto Nacional de Medicina Genómica (INMEGEN),Gabriela Elisa Mercado Celis,1,Neoplasias Malignas
SALUD MENTAL Y VIOLENCIA EN EL NOVIAZGO EN ADOLESCENTES: EVALUACIÓN DE UN PROGRAMA DE PREVENCIÓN E INTERVENCIÓN,"Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""",Gabriela Josefina Saldívar Hernández,1,Grupos Vulnerables
ANÁLISIS DE LAS MUTACIONES EN EL GEN LRBA (LYPOPOLISACHARIDE RESPONSIVE AND BEIGE-LIKE ANCHOR) EN INMUNODEFICIENCIA COMÚN VARIABLE (ICV),Instituto Nacional de Pediatría,Gabriela López Herrera,1,Grupos Vulnerables
Desarrollo de un fitomedicamento con base en el extracto estandarizado de Sechium edule para el tratamiento de las complicaciones vasculares de la Hipertension Arterial Cronica,Universidad Autónoma Del Estado de Morelos,Gabriela Rosas Salgado,1,Desarrollo y Evaluación de Tecnologías para la Salud
"FACTORES DE RIESGO DE CÁNCER DE MAMA EN MÉXICO: PATRONES MAMOGRAFICOS, PEPTIDO C Y FACTORES DE CRECIMIENTO. UN ESTUDIO MULTICÉNTRICO",Instituto Nacional de Salud Pública,Gabriela Torres Mejía,1,Enfermedades crónicas o degenerativas
Dieta y marcadores biológicos como predictores de la densidad mamográfica en maestras mexicanas: EsMaestra un estudio prospectivo,Instituto Nacional de Salud Pública,Gabriela Torres Mejía,1,Neoplasias Malignas
Generación de células neurales a partir de células reprogramadas de pacientes con Alzheimer e investigación de cambios asociados con la enfermedad con fines de diagnostico.,"Universidad Nacional Autónoma De México, UNAM",GAZARIAN KARLEN,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
ESTUDIO INTERINSTITUCIONAL E INTERDISCIPLINARIO DE: I. PREVALENCIA DE DEMENCIA EN EL ESTADO DE JALISCO. II. MARCADORES PERIFÉRICOS BIOQUÍMICOS Y MOLECULARES E IMAGENOLOGIA EN ENFERMEDAD ALZHEIMER. III. CENTRO DE ACOPIO DE CEREBROS HUMANOS,Instituto Mexicano del Seguro Social,Genaro Gabriel Ortíz,3,Enfermedades crónicas o degenerativas
ESTUDIO BIOQUÍMICO GENÉTICO Y MOLECULAR DE LA FUNCIÓN MITOCONDRIAL EN PACIENTES CON ENFERMEDAD DE ALZHEIMER PROBABLE,Instituto Mexicano del Seguro Social,Genaro Gabriel Ortíz,3,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
METALOPROTEASAS DE MATRIZ EN SANGRE DE PACIENTES CON CÁNCER PULMONAR COMO MÉTODO PARA EL DIAGNÓSTICO TEMPRANO DE METASTASIS.,Instituto Nacional de Enfermedades Respiratorias,Georgina González Ávila,2,Neoplasias malignas
IMPLANTACIÓN DE UN SISTEMA DE VIGILANCIA ALIMENTARIA Y NUTRICIONAL(SISVAN) EN LAS GUARDERÍAS DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,Instituto Mexicano del Seguro Social,Georgina Mayela Núñez Rocha,1,Trastornos de la Nutrición
EFECTO A LARGO PLAZO DE LA SUPLEMENTACIÓN CON ÁCIDOS GRASOS OMEGA-3 EN PACIENTES PEDIÁTRICOS HIPERTRIGLICERIDÉMICOS CON SOBREPESO U OBESIDAD.,Hospital Infantil De México Federico Gómez,Georgina Toussaint Martínez De Castro,,Enfermedades crónicas o degenerativas
"Estimación de la validez del método QuantiFERON-TB Gold (QFT-G) para detectar infección tuberculosa en población pediátrica de un hospital del Estado de Sonora, México",Universidad De Sonora,Gerardo Álvarez Hernández,1,Enfermedades Infecciosas y Parasitarias
EVALUACIÓN DE UN PROGRAMA DE INTERRUPCIONES ESTRUCTURADAS DE TARAA EN CICLOS DE 4/12 SEMANAS EN NIÑOS CON SIDA Y CARGA VIRAL CRÓNICAMENTE INDETECTABLE,Instituto Mexicano del Seguro Social,Gerardo del Carmen Palacios Saucedo,1,Enfermedades Infecciosas y Parasitarias
Prevención de daño renal agudo mediante el bloqueo del receptor de mineralocorticoides,"Instituto Nacional de Cardiología ""Ignacio Chávez""",GERARDO GAMBA AYALA,3,Enfermedades crónicas o degenerativas
Hipertensión postrasplante renal. Mecanismos y tratamiento.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",GERARDO GAMBA AYALA,3,Enfermedades crónicas o degenerativas
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,Instituto Mexicano del Seguro Social,Gerardo Martínez Aguilar,1,Enfermedades del rezago y emergentes
Efecto de la vibración como terapia preventiva del síndrome del pie diabético,Instituto Nacional de Rehabilitación,Gerardo Rodríguez Reyes,,Desarrollo y Evaluación de Tecnologías para la Salud
ÓRTESIS PARA EL CONTROL DE LA ALINEACIÓN METATARSO-FALÁNGICA POSTERIOR AL TRATAMIENTO QUIRÚRGICO CORRECTIVO DE HALLUX VALGUS POR TÉCNICA MÍNIMAMENTE INVASIVA.,Instituto Nacional de Rehabilitación,Gerardo Rodríguez Reyes,,Grupos Vulnerables
Identificación y aislamiento de compuestos con actividad inhibitoria sobre la replicación del virus de dengue a partir de plantas medicinales endémicas de México,Instituto Mexicano del Seguro Social,Gerardo Santos López,1,Desarrollo y Evaluación de Tecnologías para la Salud
ANÁLISIS MOLECULAR DEL GEN DEL RECEPTOR DE LIPOPROTEÍNAS DE BAJA DENSIDAD (LDL) EN INDIVIDUOS CON HIPERCOLESTEROLEMIA FAMILIAR,Instituto Mexicano del Seguro Social,Gerardo Vaca Pacheco,,Padecimientos Congénitos o de origen genético
Marcadores genético-moleculares para el diagnóstico y el análisis de diversidad de aislados de Salmonella enterica obtenidos de productos cárnicos y lácteos,Universidad Michoacana de San Nicolás de Hidalgo,Gerardo Vázquez Marrufo,1,Enfermedades Infecciosas y Parasitarias
ESTRATEGIA DE OPTIMIZACIÓN DE LA DOSIFICACIÓN DE TACROLIMUS EN PACIENTES PEDIÁTRICOS CON TRASPLANTE RENAL,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Gilberto Castañeda Hernández,3,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
ESTUDIO DE DETERMINANTES GENÉTICOS Y AMBIENTALES DE LA MASA ÓSEA EN MUJERES PERIMENOPÁUSICAS DE CIUDAD JUÁREZ CON Y SIN OSTEOPOROSIS.,Universidad Autónoma De Ciudad Juárez,Gilberto Reyes Leal,1,Enfermedades crónicas o degenerativas
PARTICIPACIÓN DE POLIMORFISMOS DE LOS GENES DEL SISTEMA RENINA-ANGIOTENSINA EN LA SUSCEPTIBILIDAD AL DESARROLLO DE RESTENOSIS DESPUES DEL IMPLANTE DE STENTS CORONARIOS. CORRELACIÓN CON VARIABLES CLÍNICAS Y ANGIOGRÁFICAS.,"Instituto Nacional de Cardiología ""Ignacio Chávez""",Gilberto Vargas Alarcón,3,Enfermedades crónicas o degenerativas
PARTICIPACIÓN DE POLIMORFISMOS DE LOS GENES DEL SISTEMA RENINA-ANGIOTENSINA EN LA SUSCEPTIBILIDAD AL DESARROLLO DE LA HIPERTENSIÓN ARTERIAL,"Instituto Nacional de Cardiología ""Ignacio Chávez""",Gilberto Vargas Alarcón,3,Enfermedades crónicas o degenerativas
DESARROLLO DE VACUNAS CONTRA VIRUS DENGUE MEDIANTE ANÁLISIS BIOINFORMÁTICO DEL GENOMA VIRAL,Instituto Mexicano del Seguro Social,Gilma Guadalupe Sánchez Burgos,1,Desarrollo y Evaluación de Tecnologías para la Salud
ANÁLISIS DE LA EXPRESIÓN DE SMAC/DIABLO EN EL CÁNCER DE MAMA.,Instituto Nacional de Medicina Genómica (INMEGEN),Gisela Ceballos Cancino,1,Neoplasias Malignas
IDENTIFICACIÓN Y CARACTERIZACIÓN DE BIOMARCADORES DE RASGO EN CÉLULAS AISLADAS DEL NEUROEPITELIO OLFATORIO DE PACIENTES CON DIAGNÓSTICO DE ESQUIZOFRENIA Y TRASTORNO BIPOLAR,"Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""",Gloria Acacia Benítez King,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
ASOCIACIÓN ENTRE LA CAPACIDAD MASTICATORIA Y EL ESTADO FUNCIONAL DEL ANCIANO,"Universidad Nacional Autónoma De México, UNAM",Gloria Alejandra Moreno Altamirano,,Grupos Vulnerables
"Estudio de predictores de sarcopenia temprana, funcionalidad y riesgo de caídas en adultos mayores, mediante análisis molecular, bioquímico y biofísico de factores asociados pérdida muscular","Hospital General ""Dr. Manuel Gea González""",Gloria Eugenia Queipo García,1,Desarrollo y Evaluación de Tecnologías para la Salud
Estudio de las proteínas que intervienen en la progresión neoplásica de tumores de células germinales gonadales: Determinación de indicadores histopatológicos con valor pronóstico.,"Hospital General ""Dr. Manuel Gea González""",Gloria Eugenia Queipo García,1,Neoplasias Malignas
"Factores de riesgo para la depresión en una muestra de pacientes del Hospital Psiquiátrico ""Yucatán""",Universidad Autónoma De Yucatán,Gloria Margarita Arankowsky Sandoval,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,Instituto Mexicano del Seguro Social,Gloria Maria Molina Salinas,1,Enfermedades Infecciosas y Parasitarias
"BURNOUT, SOBRECARGA PERCIBIDA Y SINTOMATOLOGÍA ASOCIADA AL ESTRÉS EN AMAS DE CASA MEXICANAS.",Universidad Veracruzana,Godeleva Rosa Ortíz Vivéros,1,Grupos Vulnerables
ANÁLISIS DE LA CONECTIVIDAD FUNCIONAL CON RESONANCIA MAGNÉTICA: UNA ALTERNATIVA PARA MEJORAR EL TRATAMIENTO DEL CEREBRO ADICTO.,"Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""",GONZÁLEZ OLVERA JORGE JULIO,Candidato,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Biomarcadores para establecer un método de diagnóstico temprano para Cáncer gástrico.,"Universidad Nacional Autónoma De México, UNAM",Gonzalo Castillo Rojas,1,Neoplasias Malignas
Efecto terapéutico de la cerebrolisina en la esquizofrenia,Benemérita Universidad Autónoma De Puebla,Gonzalo Flores Álvarez,3,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
EVALUACIÓN DEL DESEMPEÑO DE LOS SERVICIOS DE SALUD PREVENTIVOS EN EL INSTITUTO MEXICANO DEL SEGURO SOCIAL. MEDICION DE COBERTURAS,Instituto Mexicano del Seguro Social,Gonzalo Gutiérrez Trujillo,,Enfermedades Infecciosas y Parasitarias
"Identificación de factores pronosticos en el desarrollo, de Esclerosis Múltiple","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Graciela Ordoñez Lozano,1,Apoyo a la investigación de problemas especificos de salud en las regiones del país
DISFUNCIÓN NO MOTORA EN LA ENFERMEDAD DE PARKINSON IDIOPÁTICA: PREVALENCIA E IMPACTO EN LA CALIDAD DE VIDA.,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Gregorio Amin Cervantes Arriaga,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
"Determinantes motores, no motores y genéticos de la progresión y complicaciones de la Enfermedad de Parkinson: Estudio de cohorte multicéntrica en población mexicana","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Gregorio Amin Cervantes Arriaga,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
BIOMARCADORES PARA MESOTELIOMA PLEURAL EN DERECHOHABIENTES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,Instituto Mexicano del Seguro Social,Guadalupe Aguilar Madrid,1,Neoplasias malignas
SERO-PREVALENCIA DE INFECCIÓN POR EL VIRUS PANDÉMICO DE LA INFLUENZA A (H1N1) EN TRABAJADORES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL DURANTE EL PERÍODO FEBRERO -DICIEMBRE 2009,Instituto Mexicano del Seguro Social,Guadalupe Aguilar Madrid,1,Influenza
IDENTIFICACIÓN DE BIOMARCADORES ASOCIADOS A LESIONES GÁSTRICAS PREMALIGNAS Y DE TRANSFORMACIÓN A CÁNCER POR MEDIO DE ELECTROFORESIS BI-DIMENSIONAL Y ESPECTROMETRÍA DE MASAS (LC-MS).,Instituto Nacional de Salud Pública,Guadalupe Ayala Aguilar,1,Neoplasias malignas
Detección e identificación de virus resistentes a oseltamivir para el fortalecimiento de la vigilancia del virus AH1N1 en Yucatán,Universidad Autónoma De Yucatán,Guadalupe Ayora Talavera,1,Influenza
Obtención y caracterización de células troncales embrionarias humanas a partir de cigotos en segmentación de mala calidad,Instituto Nacional de Perinatología,GUADALUPE GARCÍA LÓPEZ,Candidato,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
Colagena-PVP para el tratamiento de artritis reumatoide,Grupo Aspid,Guadalupe Janette Furuzawa Carballeda,2,Enfermedades crónicas o degenerativas
ESTUDIO DOBLE CIEGO DEL USO DE COLAGENA-POLIVINILPIRROLIDONA (COLAGENA-PVP) APLICADA POR VIA INTRAMUSCULAR COMPARADA CON PLACEBO EN PACIENTES CON ARTRITIS REUMATOIDE,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Guadalupe Janette Furuzawa Carballeda,2,Enfermedades crónicas o degenerativas
Uso de Colágena-PVP para el tratamiento de la Osteoartrosis,Grupo Aspid,Guadalupe Janette Furuzawa Carballeda,2,Grupos Vulnerables
EVALUACIÓN DEL EFECTO DE HIDROLIZADOS PROTEICOS Y/O PROTEÍNAS DE MATRIZ EXTRACELULAR MODIFICADAS EN LA INFLAMACIÓN Y EL RECAMBIO DE LA MATRIZ EXTRACELULAR DEL CARTILAGO Y LA MEMBRANA SINOVIAL DE PACIENTES CON OSTEARTRITIS (OA) O ARTRITIS REUMATOIDE (AR).,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Guadalupe Janette Furuzawa Carballeda,2,Enfermedades crónicas o degenerativas
EFECTOS DE UN ESTUDIO DE INTERVENCIÓN CON METFORMINA Y ÁCIDO LINOLEICO CONJUGADO SOBRE LOS NIVELES SÉRICOS Y EXPRESIÓN EN TEJIDO ADIPOSO DE CITOCINAS INFLAMATORIAS EN PACIENTES PEDIÁTRICOS CON OBESIDAD,"Hospital General ""Dr. Manuel Gea González""",GUADALUPE NAYELY GARIBAY NIETO,1,Enfermedades crónicas o degenerativas
"Eficacia de un abordaje familiar e interdisciplinario para prevención de diabetes, y su efecto sobre perfiles familiares e individuales de secreción de insulina y resistencia a la insulina en pacientes con prediabetes.",Universidad De Guanajuato,GUARDADO MENDOZA RODOLFO,1,ENFERMEDADES CRÓNICAS
PREPARACIÓN Y EVALUACIÓN DE RADIOCONJUGADOS DE LYS3-BOMBESINA PARA LA DETECCIÓN ESPECÍFICA Y TEMPRANA DE CÁNCER DE MAMA,Instituto Nacional de Investigaciónes Nucleares,Guillermina Ferro Flores,3,Desarrollo y Evaluación de Tecnologías para la Salud
Dosimetría y Microdosimetría de Radiofármacos para el Diagnóstico Seguimiento y Posible Tratamiento de Tumores de Origen Neuroendócrino y Linfomas no Hodgkin,Instituto Nacional de Investigaciónes Nucleares,Guillermina Ferro Flores,3,Desarrollo y Evaluación de Tecnologías para la Salud
EVALUACIÓN DE PROGRAMAS DE PREVENCIÓN EN EL CAMPO DE LAS ADICCIONES,"Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""",Guillermina Natera Rey,2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"EVALUACIÓN DE LAS VARIANTES ALÉLICAS *1B, *2, *4, *5 Y *6 DEL GEN CYP3A4 EN LA POBLACIÓN MEXICANA Y SU ASOCIACIÓN CON EL RIESGO A DESARROLLAR CÁNCER DE PROSTATA.",Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Guillermo Elizondo Azuela,2,Neoplasias malignas
Estudio multicéntrico para la determinación de factores condicionantes de gravedad en pacientes infectados con el virus de influenza pandémico A (H1N1)2009,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Guillermo Miguel Ruíz Palacios Y Santos,3,Influenza
ESTUDIO DE BASE POBLACIONAL PARA DEFINIR LA CARGA DE ENFERMEDAD DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Guillermo Miguel Ruíz Palacios Y Santos,,Influenza
VARIACIÓN EN EL NÚMERO DE COPIAS DEL GEN QUE CODIFICA EL TLR-7 Y EL SNP rs179008 EN PACIENTES YUCATECOS CON LUPUS ERITEMATOSO SISTEMICO,Universidad Autónoma De Yucatán,Guillermo Valencia Pacheco,1,Enfermedades crónicas o degenerativas
ENCUESTA CONTINUA DE SALUD EN MÉXICO,Instituto Nacional de Salud Pública,Gustavo Adolfo Olaiz Fernández,1,Neoplasias malignas
"FORMACIÓN, EMPLEO Y REGULACIÓNDE LOS RECURSOS HUMANOS PARA LA SALUD. BASES PARA SU PLANEACIÓN ESTRATÉGICA.",Instituto Nacional de Salud Pública,Gustavo Humberto Nigenda López,2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
EL SEGURO POPULAR DE SALUD PARA FAMILAS CON MIGRANTES EN ESTADOS UNIDOS,"Fundacion Mexicana Para La Salud, A.C.",Gustavo Humberto Nigenda López,2,Entorno Social y Transición Demográfica
Retos de la integración funcional del sistema de salud mexicano. Un estudio de factibilidad,Instituto Nacional de Salud Pública,Gustavo Humberto Nigenda López,2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
