Campo1,TITULO DEL PROYECTO
2007,DESARROLLO E IMPLEMENTACIÓN DE UN SISTEMA DE EVALUACIÓN KINESIOLÓGICA DE RIESGO DE LESIÓN DE HOMBRO EN USUARIOS DE SILLA DE RUEDAS.
2007,DESARROLLO E IMPLEMENTACIÓN DE UNA PRUEBA DIGNÓSTICA POR WESTERN BLOT MÚLTIPLE PARA LAS DISTROFIAS MUSCULARES MÁS COMUNES EN MÉXICO
2002,DESARROLLO E INNOVACIÓN DE BIOPRÓTESIS CARDIACAS
2004,Desarrollo e Investigacion de Paclitaxel Oral en Pacientes con Cancer
2010,"Desarrollo preclínico de una combinacion farmacológica bloqueadora de la glucoólisis, glutaminólisis y sntesis de acidos grasos como estrategia antitumoral."
2011,"Desarrollo preclínico del ribavirin como inhibidor multiblanco (multitargeted) de EZH2, eIF4E e IMPDH2 en neoplasias malignas."
2004,DESARROLLO TECNOLÓGICO DE HERRAMIENTAS COMPUTACIONALES PARA MEJORAR LA ATENCIÓN NUTRICIA AL PACIENTE AMBULATORIO Y HOSPITALIZADO Y DEL INDIVIDUO NORMAL O EN CONDICIONES ESPECIALES.
2007,DESARROLLO Y APLICACIÓN DE NUEVAS TERAPIAS EN EL TRATAMIENTO DE AFECCIONES OCULARES DE ORIGEN INMUNOLÓGICO
2013,Desarrollo y aplicación de un sustituto biológico dermo-epidérmico para el tratamiento de pacientes con quemaduras de tercer grado
2002,DESARROLLO Y ESCALAMIENTO A NIVEL PILOTO DE UNA VACUNA CONJUGADA DE HAEMOPHILUS INFLUENZAE B (HIB)
2003,"""Desarrollo y evaluación comparativa de tres instrumentos para la administración de vacunas antisarampionosas por vía aerosol""."
2003,DESARROLLO Y EVALUACIÓN DE INDICADORES DE CALIDAD DE LA ATENCIÓN MÉDICA EN LA UNIDAD DE TERAPIA INTENSIVA. Estudio multicéntrico.
2002,DESARROLLO Y EVALUACIÓN DE MATERIALES NOVEDOSOS PARA LA ADMINISTRACIÓN DE FÁRMACOS ANTINEOPLASICOS: MICELAS POLIMERICAS DE TAMAÑO CONTROLADO.
2006,DESARROLLO Y EVALUACIÓN DE SISTEMAS BASADOS EN TECNOLOGÍAS DE REALIDAD VIRTUAL PARA EL TRATAMIENTO DE TRASTORNOS DE ANSIEDAD.
2005,DESARROLLO Y EVALUACIÓN DE UN MODELO DE PREVENCIÓN DE LA DESNUTRICIÓN Y DE TRASTORNOS DEL DESARROLLO BASADO EN UN ACOMPAÑAMIENTO DOMICILIARIO SEMANAL ENTRE LOS 6 Y 9 MESES DE EDAD EN LOS ALTOS DE CHIAPAS.
2013,DESARROLLO Y EVALUACIÓN DE UN NUEVO DISPOSITIVO DE AVANCE MANDIBULAR COMO TRATAMIENTO TERAPEÚTICO PARA PACIENTES CON SAOS Y RONQUIDO SECUNDARIO A OBSTRUCCIÓN EN BASE DE LENGUA.
2009,Desarrollo y prueba de un Modelo de entrenamiento en prácticas de crianza positivas en familias mexicanas con niños/as con problemas de conducta.
2007,DESARROLLO Y PUESTA EN PRÁCTICA DE UN SISTEMA DE GESTIÓN TECNOLÓGICA PARA LA INNOVACIÓN EN SALUD
2013,Desarrollo y validación de firma de Perfiles de Expresión Génica de predicción de metástasis a sistema nervioso central en pacientes con Cáncer de mama triple negativo.
2011,Desarrollo y validación de un inmunoensayo para la cuantificación de productos finales de glicosilación avanzada: evaluación de su valor diagnóstico para predecir las complicaciones crónicas de la Diabetes Mellitus.
2009,Desarrollo y validacion de un microarreglo de DNA para deteccion y subtipificacion de agentes virales asociados a gastroenteritis.
2003,Desarrollo y validación de un programa de educación para el diagnóstico y prevención de la nefropatía diabética aplicado a médicos generales y médicos familiares del Sector Salud.
2002,DESARROLLO Y VALIDACIÓN DE UNA ESTRATEGIA COMUNITARIA PARA LA REDUCCIÓN DEL RIESGO DE DENGUE Y DIARREA EN ECOSISTEMAS URBANOS DE LA FRONTERA SUR MÉXICO-GUATEMALA
2007,DESARROLLO Y VALIDACIÓN DE UNA PRUEBA DE DIAGNÓSTICO DE LA TUBERCULOSIS PULMONAR EMPLEANDO LOS ANTÍGENOS ESAT-6 Y CFP-10 DE MYCOBACTERIUM TUBERCULOSIS UNIDOS A MICROESFERAS
2012,"DESARROLLO, APLICACIÓN Y VALIDACIÓN DE UN ENSAYO DE PCR CUANTITATIVA EN ARREGLO PARA LA DETECCIÓN DE SECUENCIAS VIRALES EN CÁNCER DE MAMA"
2004,Desarrollo escalamiento semi-industrial y evaluación clínica de un nuevo fitomedicamento ansiolítico elaborado a partir del extracto estandarizado de la especie vegetal mexicana Galphimia glauca
2004,Desarrolo de un kit de inmunocromatografía en papel para diagnóstico de salmonelosis y fiebre tifoidea: Una prueba rápida y de bajo costo.
2013,Descripción de las vías que estimulan el perfil Th17 en la Esclerosis Sistémica y su correlación con subtipos y etapas clínicas.
2010,DETECCCION Y DISMINUCIÓN DE FACTORES DE RIESGO OBESOGENICO EN PRE ESCOLARES COMO UNA ESTRATEGIA DE PREVENCIÓN PRIMARIA DE SOBREPESO Y OBESIDAD
2009,DETECCIÓN DE AGENTES VIRALES RELACIONADOS CON LA SALUD DEL BINOMIO MADRE-HIJO
2008,DETECCIÓN DE ALTERACIONES CROMOSÓMICAS POR MICROARREGLOS Y SU RELACIÓN EN PACIENTES CON MALFORMACIÓNES CONGÉNITAS Y RETRASO MENTAL/RETRASO PSICOMOTOR IDIOPÁTICO.
2008,DETECCIÓN DE CÉLULAS TRONCALES TUMORALES CIRCULANTES PARA EL DIAGNÓSTICO Y PRONÓSTICO DEL CÁNCER DE MAMA
2007,DETECCIÓN DE COMPLICACIONES CARDÍACAS EN PACIENTES CON ESCLERODERMA Y SU ASOCIACIÓN CON SUBTIPOS CLÍNICOS DE LA ENFERMEDAD
2008,DETECCIÓN DE DÍMEROS HER1/HER2 Y HER2/HER3 EN EL DIAGNÓSTICO DIFERENCIAL DE PACIENTES CON CÁNCER DE MAMA Y ALTO RIESGO DE DESARROLLO DE METÁSTASIS
2012,"Detección de la proteína PurK1, un marcador epidemiológico en aislados de Enterococcus faecium resistentes a vancomicina en el Hospital Infantil de México Federico Gómez"
2008,"DETECCIÓN DE LAS PROTEÍNAS HOXB2, HOXB4 Y HOXB13 COMO MARCADORES PRONÓSTICOS EN LESIONES DEL CERVIX UTERINO."
2013,DETECCIÓN DE METÁSTASIS ÓSEAS MEDIANTE SECUENCIA DE DIFUSIÓN OBTENIDA POR RESONANCIA MAGNÉTICA
2008,DETECCIÓN DE TRANSLOCACIONES CRÍPTICAS DE LOS CROMOSOMAS ACROCÉNTRICOS EN FAMILIAS CON ABORTOS CON ANEUPLOIDÍAS
2008,DETECCIÓN DE VIRUS ENTÉRICOS POR PCR EN TIEMPO REAL EN VEGETALES FRESCOS Y AGUA DE LAVADO PARA EVITAR BROTES EPIDÉMICOS EN HUMANOS
2004,Detección del Virus del Oeste del Nilo (VON) en donadores de sangre que asisten al IMSS y mosquitos de la ciudad de Mérida como un indicador de riesgo de infección y enfermedad en residentes de la misma.
2010,DETECCIÓN E IDENTIFICACIÓN DE LOS ANTICUERPOS NATURALES DE LA CLASE M CONTRA ANTÍGENOS TUMORALES RELACIONADOS CON LA ANGIOGÉNESIS EN PACIENTES PEDIÁTRICOS CON OSTEOSARCOMA COMO NUEVOS MARCADORES INMUNOLÓGICOS PARA DIAGNÓSTICO TEMPRANO.
2010,"Detección e identificación de virus de influenza estacional, A/H1N1 pandémica, así como de diferentes virus respiratorios mediante amplificación múltiple en tiempo real empleando la tecnología de arreglos dinámicos de nanofluidos."
2009,Detección e identificación de virus resistentes a oseltamivir para el fortalecimiento de la vigilancia del virus AH1N1 en Yucatán
2009,DETECCIÓN MOLECULAR DE VIBRIOS PATÓGENOS EN MOLUSCOS MARINOS DESTINADOS A CONSUMO HUMANO
2005,DETECCIÓN RÁPIDA DE DROGORESISTENCIA DE TUBERCULOSIS POR PCR EN TIEMPO REAL.
2013,Detección Temprana de las aneuploidías de cromosomas sexuales a través de la cuantificación de la dosis genómica por qPCR en muestras de tamiz neonatal.
2012,Determinación de diferentes clases y subclases de anticuerpos específicos en muestras de sangre embebida en papel filtro de niños con infección congénita por Toxoplasma gondii como posibles marcadores de diagnóstico pronóstico
2012,"Determinación de bio-marcadores de daño oxidativo en membranas de eritrocito, como predictores de desenlace perinatal adverso en mujeres embarazadas con sobrepeso."
2012,"DETERMINACIÓN DE BIOMARCADORES EN SANGRE PERIFÉRICA PARA PREDECIR RESPUESTA, TOXICIDAD AL TRATAMIENTO Y SOBREVIDA EN PACIENTES CON LINFOMA NO HODGKIN."
2013,Determinación de biomarcadores pronósticos clínicos y moleculares en pacientes con astrocitoma
2012,"Determinación de células madre carcinogenómicas, diferenciación celular espontánea y expresión de enzimas proteolíticas, relacionados con la topografía tumoral y el pronóstico en pacientes con Glioblastoma Multiforme"
2009,Determinación de elementos tóxicos séricos y su posible asociación a factores de riesgo ambiental en pacientes con neumonía provocada por el virus de la influenza A/H1N1 en la ciudad de México
2004,Determinación de endofenotipos y latencia de transición a psicosis en un modelo de detección temprana de esquizofrenia
2007,DETERMINACIÓN DE FACTORES DE RIESGO PARA FALLA AL TRATAMIENTO CON FÁRMACOS MODIFICADORES DE LA ENFERMEDAD EN PACIENTES CON ARTRITIS REUMATOIDE DE INICIO RECIENTE. ESTUDIO DE CASOS Y TESTIGOS ANIDADO A UNA COHORTE
2007,DETERMINACIÓN DE FACTORES GENÉTICOS PRONÓSTICOS DEL DESARROLLO DE DEGENERACIÓN MACULAR RELACIÓNADA CON LA EDAD EN POBLACIÓN MEXICANA
2007,DETERMINACIÓN DE FACTORES PREDICTIVOS DEL DESARROLLO DE GLAUCOMA DEL ADULTO
2005,DETERMINACIÓN DE INFECCIÓN MUTUA DE TUBERCULOSIS ENTRE HUMANOS Y BOVINOS EN POBLACIONES DE ALTO RIESGO
2008,DETERMINACIÓN DE LA CAPACIDAD DE QUANTIFERON PARA IDENTIFICAR CONVERSIÓN A TUBERCULOSIS ACTIVA EN CONTACTOS INTRAFAMILIARES
2013,Determinación de la concentración plasmática de aminoácidos de cadena ramificada en jóvenes preuniversitarios y su asociación con los polimorfismos en la transaminasa de aminoácidos de cadena ramificada (rs11548193 y rs73587806).
2007,DETERMINACIÓN DE LA ETIOLOGÍA VIRAL EN INFECCIONES RESPIRATORIAS BAJAS EN NIÑOS HOSPITALIZADOS MENORES DE 5 AÑOS DE EDAD CON REPRESENTATIVIDAD NACIONAL.
2004,DETERMINACIÓN DE LA FARMACORRESISTENCIA DE MYCOBACTERIUM TUBERCULOSIS A MEDICAMENTOS DE PRIMERA Y SEGUNDA LINEA UTILIZANDO DIFERENTES MÉTODOS DIAGNÓSTICOS
2011,DETERMINACIÓN DE LA FRECUENCIA DE LAS CÉLULAS SUPRESORAS DE ORIGEN MIELOIDE Y SU POSIBLE ÚTILIDAD COMO BIOMARCADOR PRONÓSTICO EN CÁNCER PULMONAR
2008,"DETERMINACIÓN DE LA FRECUENCIA DE SOBREINFECCIÓN POR HEPATITIS ""B""(HEPATITIS OCULTA) EN UN GRUPO DE PACIENTES CRÓNICAMENTE INFECTADOS CON HEPATITIS C Y/O EL VIRUS DE INMUNODEFICIENCIA HUMANA (VIH-1)."
2009,DETERMINACIÓN DE LOS NIVELES DE ARSENICO EN LA CIUDAD DE DURANGO Y EVALUACIÓN DE LA ASOCIACIÓN DE LOS POLIMORFISMOS EN EL GEN CAT CON LA GENERACIÓN DE DAÑO EN EL ADN
2006,DETERMINACIÓN DE MARCADORES MOLECULARES EN LINFOMAS NO-HODGKIN Y SU CORRELACIÓN CON LA RESPUESTA AL TRATAMIENTO.
2009,DETERMINACIÓN DE UN PERFIL DE EXPRESIÓN GENÉTICA ASOCIADO CON EL DESARROLLO DE METÁSTASIS A SISTEMA NERVIOSO CENTRAL EN PACIENTES CON CÁNCER DE PULMÓN DE CÉLULAS NO PEQUEÑAS
2002,"DETERMINACIÓN DEL IMPACTO ECONÓMICO DE LAS ENFERMEDADES REUMÁTICAS. ESTUDIO MULTICÉNTRICO DE ENFERMOS CON ESPONDILITIS ANQUILOSANTE (EA), ARTRITIS REUMATOIDE (AR) Y GOTA"
2006,DETERMINACIÓN TEMPRANA DEL CÁNCER DE MAMA USANDO LA ESPECTROSCOPÍA RAMAN DE SUPERFICIE AMPLIFICADA CON SENSORES METALICOS NANOESTRUCTURADOS
2012,Determinación y caracterización de medidas relativas y absolutas para campos pequeños de radiación.
2010,Determinación y estudio de marcadores biológicos como posibles candidatos para la detección temprana de cáncer de próstata y de mama.
2011,DETERMINANTES AMBIENTALES DE LA OBESIDAD INFANTIL y POLÍTICAS PÚBLICAS EN MÉXICO
2002,"DETERMINANTES ECOLOGICOS, SOCIODEMOGRAFICOS Y CULTURALES DE LA TRANSMISIÓN Y LA PARTICIPACIÓN COMUNITARIA EN EL CONTROL DEL PALUDISMO EN LOS FOCOS HIPERENDEMICOS DE LA COSTA DEL OCEANO PACIFICO"
2008,DETERMINANTES INSTITUCIONALES DE LA COBERTURA EFECTIVA DE LOS SERVICIOS DE SALUD DE PRIMER NIVEL EN MÉXICO
2012,"Determinantes motores, no motores y genéticos de la progresión y complicaciones de la Enfermedad de Parkinson: Estudio de cohorte multicéntrica en población mexicana"
2010,Determinantes sociales y culturales de conductas alimentarias de riesgo y obesidad.
2011,Determinantes y Factores de Pronóstico de Enfermedad Hepática Crónica en una Cohorte de Trabajadores de la Salud: Un Estudio Longitudinal
2005,DIAGNÓSTICO Y CARACTERIZACIÓN MOLECULAR Y CLÍNICA DE INFECCIONES HOSPITALARIAS OCASIONADAS POR EL HONGO PATÓGENO OPORTUNISTA CANDIDA GLABRATA
2010,Diagnóstico de cáncer de mama basado en biomarcadores de imágenes validados con expresión genética.
2013,Diagnóstico de infección adquirida en el hospital con el marcador molecular V1-V3 del gen 16S rDNA: trascendencia y utilidad cuando el cultivo resulta negativo.
2011,Diagnóstico diferencial en un solo paso de enfermedades febriles distintas a dengue.
2003,DIAGNÓSTICO ETIOLÓGICO DE LA DEGENERACIÓN ESPINOCEREBELOSA EN POBLACIÓN MEXICANA
2007,DIAGNÓSTICO MOLECULAR DE LA AGAMMAGLOBULINEMIA LIGADA AL CROMOSOMA X EN LA POBLACIÓN MEXICANA.
2012,Diagnóstico molecular de las epilepsia de ausencias
2008,DIAGNÓSTICO MOLECULAR DE PATÓGENOS ASOCIADOS A ENFERMEDADES RESPIRATORIAS USANDO UN MICROARREGLO DE DNA
2004,DIAGNÓSTICO MOLECULAR PREVENTIVO EN CÁNCER BIEN DIFERENCIADO DE TIROIDES
2011,"Diagnóstico molecular rápido y preciso de las especies de Candida más comunes en infecciones hospitalarias: Candida tropicalis, Candida parapsilosis y Candida albicans."
2009,Diagnóstico no invasivo de la enfermedad de Alzheimer a través de la determinación de la proteína tau patológica en líquido cefalorraquídeo.
2010,Diagnóstico rápido y oportuno de tuberculosis meningea
2004,Diagnóstico rápido de tuberculosis
2012,"Diagnóstico rápido de tuberculosis y farmacorresistencia en aislados de pacientes en la Peninsula de Yucatán, México."
2007,DIAGNÓSTICO SITUACIONAL SOBRE EL SÍNDROME DE ESTRES LABORAL (BURN OUT) EN DOS HOSPITALES DEL I.S.S.S.T.E. Y DOS HOSPITALES FEDERALES DE REFERENCIA.
2002,DIAGNÓSTICO SOBRE EL SISTEMA DE SALUD Y EL ESTADO DE SALUD EN MÉXICO CON MIRAS AL CUMPLIMIENTO DE LOS OBJETIVOS DE DESARROLLO DE LA ORGANIZACION DE LAS NACIONES UNIDAS PARA EL MILENIO
2010,"DIAGNÓSTICO Y CARACTERIZACIÓN MOLECULAR DE Acinetobacter baumannii PRODUCTOR DE ß-LACTAMASAS CLASE D, COMO EL AGENTE CAUSAL DE INFECCIONES NOSOCOMIALES EN HOSPITALES DE TERCER NIVEL; UNA ESTRATEGIA PARA IMPLEMENTAR TRATAMIENTO EFECTIVO."
2009,Dieta y marcadores biológicos como predictores de la densidad mamográfica en maestras mexicanas: EsMaestra un estudio prospectivo
2002,DIETARY-GENE INTERACTIONS FOR GASTRIC CÁNCER RISK AND SURVIVAL.
2011,"DIFERENCIACIÓN DE GONOCITOS EN NIÑOS CON CRIPTORQUIDIA, Y SU ASOCIACIÓN CON EL CARCINOMA ""IN SITU"" TESTICULAR"
2005,DIFERENCIACIÓN NEURONAL DE CÉLULAS MADRE EMBRIONARIAS HUMANAS: APLICACIONES EN ENFERMEDADES NEURODEGENERATIVAS.
2002,"DIFERENCIAS EN LA ADHESION DE CÉLULAS ENDOTELIALES DERIVADAS DE CORDON UMBILICAL DE RECIEN NACIDOS SANOS A MONOCITOS, LINFOCITOS Y PLAQUETAS CON BASE A SUS ANTECEDENTES FAMILIARES ATEROGENICOS."
2005,DISEÑO CONSTRUCCIÓN Y EVALUACIÓN CLÍNICA DE PRÓTESIS MIOELECTRICAS CON 3 GRADOS DE LIBERTAD ACTIVOS PARA AMPUTACIÓN POR ARRIBA DE CODO
2003,Diseño de medios de cultivo para la propagación de líneas celulares de mamiferos para evaluar la actividad citotóxica de extractos de plantas
2010,DISEÑO DE NUEVOS FÁRMACOS TOCOLÍTICOS Y SU EVALUACIÓN PRECLÍNICA EN ÚTERO HUMANO
2004,Diseño de un dispositivo electrónico intramedular implantable e inalámbrico para la detección de la recaída de Leucemia Aguda post-quimioterapia.
2009,Diseño de un equipo para evaluar opticamente la consolidación ósea.
2007,DISEÑO DE UN NUEVO INMUNOESTIMULADOR (ADYUVANTE) PARA DESARROLLO Y/O MEJORAMIENTO DE VACUNAS HECHO CON PORINAS DE SALMONELLA ENTERICA SEROVAR TYPHI
2013,DISEÑO DE UN PANEL DE BIOMARCADORES PARA LA DETECCIÓN TEMPRANA DE CÁNCER CERVICOUTERINO A PARTIR DE UNA SOLA TOMA DE MUESTRA.
2007,DISEÑO DE UN PROGRAMA DE SALUD AMBIENTAL PARA DISMINUIR LOS RIESGOS SANITARIOS EN COMUNIDADES WIRARICAS (HUICHOLAS).
2009,DISEÑO DE UN SISTEMA DE ADQUISICIÓN Y ANÁLISIS DE IMÁGENES DIGITALES PARA SU APLICACIÓN EN EL DIAGNÓSTICO MICROSCÓPICO DE LA ENFERMEDAD DE CHAGAS
2008,DISEÑO DE UN SISTEMA DE ANÁLISIS BIOMECÁNICO DE LA MANO PARA EVALUAR EL TRATAMIENTO QUIRÚRGICO Y DE REHABILITACIÓN
2011,"Diseño de un sistema de detección rápido, eficiente y portátil de dengue por medio de técnicas de Ingeniería Genética y Nanotecnología."
2004,Diseño de un ventilador mecánico para terapia intensiva con sistema de control inteligente y operación remota utilizando métodos de medición no invasivos.
2011,DISEÑO DEL TRATAMIENTO DE DIABETES MEDIANTE LA REGULACIÓN ENZIMÁTICA DE LA CONCENTRACIÓN DE GLUCOSA A NIVEL DE TRACTO DIGESTIVO
2010,"Diseño e Implementación de un Programa de Comunicación de Riesgos, una alternativa de intervención para mejorar la salud ambiental infantil en una zona con diversos problemas ambientales."
2012,Diseño e Implementación de una Órtesis Robótica de Mano controlada por Interfaz Cerebro-Computadora para pacientes con discapacidad motora
2005,DISEÑO Y APLICACIÓN DE NUEVOS TRATAMIENTOS DE LESIONES MICROVASCULARES DE TEJIDO CUTÁNEO DE LOS PACIENTES CON DIABETIS MELLITUS PARA PREVENCIÓN DE DISCAPACIDADES POR AMPUTACIÓN
2011,diseño y aplicación de un sistema duplex en tiempo real para la detección rápida de bocavirus y adenovirus en muestras de exudado faríngeo
2004,DISEÑO Y CONSTRUCCION DE UN MASTOGRAFO DIGITAL
2009,"Diseño y Construcción de Vectores Tipo Virion: Aplicaciones Potenciales como Portadores de Medicamentos, Imagenologia, Terapia Viral y Terapia Genética"
2008,DISEÑO Y DESARROLLO DE ARTICULACIÓN REOMAGNÉTICA PARA ORTESIS DE MIEMBRO INFERIOR
2007,DISEÑO Y DESARROLLO DE ASIENTOS CONFORMADOS PARA NIÑOS CON DISCAPACIDAD
2006,DISEÑO Y ESTUDIO DE CRIOPROTECTOR BASADO EN PROTEÍNAS ANTICONGELANTES PARA CRIOPRESERVACIÓN DE CORAZÓN CON FINES DE TRASPLANTE
2007,DISEÑO Y EVALUACIÓN DE UN MODELO DE ASISTENCIA SOCIO-MÉDICA A DERECHOHABIENTES DEL IMSS MAYORES DE 60 AÑOS
2004,Diseño y evaluación de un modelo de atención integral con enfoque social a la salud para afrontar el problema de la violencia de género en la población derechohabiente del Instituto Mexicano del Seguro Social
2005,DISEÑO Y EVALUACIÓN DE UN MODELO DE ATENCIÓN SOCIAL A LA SALUD DE LOS/LAS ADULTOS/AS MAYORES DERECHOHABIENTES DEL IMSS
2007,DISEÑO Y EVALUACIÓN DE UNA ESTRATEGIA PARA PREVENIR SOBREPESO Y OBESIDAD EN ESCOLARES DE LA CIUDAD DE MÉXICO
2013,Diseño y evaluación de una herramienta interactiva para la cesación del tabaquismo en México
2008,DISEÑO Y FABRICACIÓN DE MICROSENSORES DE FLUJO PARA CUIDADOS NEONATALES
2010,Diseño y validación de un cuestionario breve de frecuencia de consumo de alimentos para determinar la ingesta de ácido fólico y yodo en mujeres en edad reproductiva
2004,DISEÑO Y VALIDACIÓN DE UN MÉTODO DE EVALUACIÓN ERGONOMICA DE CAMPO EN TRABAJADORES MEXICANOS.
2004,DISEÑO Y VALIDACIÓN DE UN SISTEMA PARA LA DETECCIÓN DE RIESGOS Y LA PREVENCIÓN DE LA DISCAPACIDAD MENTAL EN LACTANTES DE 0 A 24 MESES
2008,"DISEÑO, DESARROLLO Y EVALUACIÓN DE UN DISPOSITIVO DE ESTIMULACIÓN MECÁNICA EXTERNA PARA LA ACELERACIÓN DE LA CONSOLIDACIÓN EN FRACTURAS ÓSEAS."
2007,"DISEÑO, DESARROLLO Y EVALUACIÓN DE UN SISTEMA INTERACTIVO DE COMUNICACIÓN CONVERSACIONAL BASADO EN COMPUTADORA PARA PERSONAS CON DISCAPACIDAD DEL HABLA"
2008,DISFUNCIÓN NO MOTORA EN LA ENFERMEDAD DE PARKINSON IDIOPÁTICA: PREVALENCIA E IMPACTO EN LA CALIDAD DE VIDA.
2005,"DISTRIBUCION DE GENES SAPÂ´S (CODIFICANTES DE ASPARTIL PROTEÍNASAS SECRETADAS) EN AISLADOS MEXICANOS DE CANDIDA SPP, SU USO COMO MARCADORES DE VIRULENCIA Y PERTINENCIA COMO BLANCOS TERAPEÚTICOS"
2004,Dosimetría y Microdosimetría de Radiofármacos para el Diagnóstico Seguimiento y Posible Tratamiento de Tumores de Origen Neuroendócrino y Linfomas no Hodgkin
2007,ECOLOGÍA ALIMENTICIA DE POBLACIONES LARVARIAS DE AEDES AEGYPTI EN CONTENEDORES ARTIFICIALES DEL SUR DE CHIAPAS.
2007,"ECOLOGÍA E INCRIMINACIÓN DE VECTORES Y RESERVORIOS DE LEIHSMANIASIS CUTÁNEA EN LA REGIÓN FRONTERIZA DE CHIAPAS, MÉXICO."
2007,EDUCACIÓN EN SALUD EN EL ÁREA ESCOLAR (NIVEL MEDIO) Y SU RELACIÓN CON LA EFECTIVIDAD DEL PROGRAMA DE DETECCIÓN OPORTUNA DE CÁNCER CÉRVICO-UTERINO Y MAMARIO EN POBLACIÓN DE NUEVO LEÓN
2008,"EDUCACIÓN PARA LA PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS (ETAS): EVALUACIÓN DE CONOCIMIENTOS SANITARIOS E IMPLEMENTACIÓN DE UNA ESTRATEGIA EDUCATIVA CON MANIPULADORES DE ALIMENTOS PARA PREVENIR ETAS EN LA CIUDAD DE MÉRIDA, YUCATÁN."
2013,"EFECTIVIDAD DE LA C.P.A.P NASAL SOBRE LA DISFUNCIÓN MIOCÁRDICA Y EL CONTROL GLUCÉMICO EN PACIENTES CON DIABETES MELLITUS TIPO 2, OBESIDAD Y SÍNDROME DE APNEA OBSTRUCTIVA DEL SUEÑO"
2003,"EFECTIVIDAD DEL MÉTODO PRDA-PASS EN NIÑOS CON DISCAPACIDAD PARA LA LECTURA DE LA CIUDAD DE LA PAZ, BAJA CALIFORNIA SUR"
2010,"EFECTIVIDAD DEL TRATAMIENTO MÉDICO NUTRICIO MÁS METFORMINA TRANSGESTACIONAL VS SOLO TRATAMIENTO MÉDICO NUTRICIO, PARA DISMINUIR LA INCIDENCIA DE DIABETES MELLITUS GESTACIONAL EN EMBARAZADAS CON SÍNDROME DE OVARIOS POLIQUÍSTICOS U OBESIDAD"
2006,EFECTO A LARGO PLAZO DE LA SUPLEMENTACIÓN CON ÁCIDOS GRASOS OMEGA-3 EN PACIENTES PEDIÁTRICOS HIPERTRIGLICERIDÉMICOS CON SOBREPESO U OBESIDAD.
2003,EFECTO ANTIMICROBIANO DEL BARNIZ DE CLORHEXIDINA AL 1% EN EL CONTROL DE LA CARIES DE BIBERÓN
2003,Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.
2009,EFECTO DE DOS NUEVOS PÉPTIDOS ANTINEOPLÁSICOS EN LÍNEAS CELULARES DE GLIOBLASTOMA
2004,Efecto de estrógenos y progestágenos sobre la expresión de receptores alfa y beta en mujeres menopáusicas obesas y no obesas.
2009,Efecto de la acupuntura en el tratamiento de la obesidad y la expresión génetica en los adipocitos.
2011,"EFECTO DE LA ADMINISTRACIÓN ENTERAL DE ÁCIDO DOCOSAHEXAENOICO SOBRE CITOCINAS, TOLERANCIA ENTERAL, VELOCIDAD DE CRECIMIENTO, ENTEROCOLITIS NECROSANTE Y ESTANCIA HOSPITALARIA EN NEONATOS PRETÉRMINO"
2009,"Efecto de la administración enteral de ácidos grasos poli-insaturados omega 3 más un complemento alimenticio sobre la mortalidad, el estado de nutrición y la toxicidad del tratamiento de niños con leucemia aguda linfoblástica: Ensayo clínico cont"
2004,Efecto de la contaminación de las carnes para consumo humano por patógenos transmitidos por alimentos en la salud de la población en dos comunidades de la República Mexicana.
2006,EFECTO DE LA DIACEREÍNA SOBRE LA SECRECIÓN DE INSULINA EN PACIENTES CON DIABETES MELLITUS TIPO 2 Y SOBREPESO U OBESIDAD
2005,EFECTO DE LA EXPOSICIÓN A CONTAMINANTES ATMOSFERICOS DURANTE LARGO PLAZO EN EL CRECIMIENTO DE LA FUNCIÓN PULMONAR. ANÁLISIS DEL ESTUDIO METROPOLITANO A LARGO PLATO DE LOS EFECTOS DE LA CONTAMINACION EN ESCOLARES DE LA CIUDAD DE MÉXICO
2011,Efecto de la exposición a nanotubos de carbono sobre el endotelio vascular y la fibrinólisis
2012,Efecto de la exposición a plaguicidas durante el embarazo y su interacción con polimorfismos genéticos PON1 sobre eventos reproductivos adversos y sobre el perfil tiroideo materno y del recién nacido en zonas florícolas de Estado de México .
2004,EFECTO DE LA EXPOSICIÓN OCUPACIONAL A PLAGUICIDAS ORGANOFOSFORADOS SOBRE LAS CÉLULAS ESPERMATICAS DE TRABAJADORES AGRÍCOLAS Y SU RELACIÓN CON EL GENOTIPO DE LA ENZIMA PARAOXONASA
2012,"Efecto de la infección con Helicobacter pylori sobre los niveles plasmáticos de los neuropéptidos que regulan el apetito y la saciedad: Grelina, Leptina y Obestatina; en niños escolares con desmedro, sobrepeso y obesidad"
2004,Efecto de la infección por H. pylori sobre la velocidad de crecimiento en escolares según el estado nutricio de hierro.
2009,Efecto de la inflamación aguda (influenza H1N1) y crónica (obesidad) en la homeostasis del hierro y su impacto en la gravedad de la infección.
2005,EFECTO DE LA INTERACCIÓN ENTRE VARIANTES GENÉTICAS DEL RECEPTOR DE VITAMINA D Y DE ENZIMAS DEL METABOLISMO DE LOS FOLATOS SOBRE LA DENSIDAD MINERAL ÓSEA Y RIESGO PARA OSTEOPOROSIS
