Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,ALBERTO ROMÁN RODRÍGUEZ,,COMISIÓN FEDERAL PARA LA PROTECCIÓN CONTRA RIESGOS SANITARIOS,TECNOLOGÍA  DEL MEDIO AMBIENTE
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,Rene Santos Luna,,Instituto Nacional De Salúd Pública,TECNOLOGÍA  E INGENIERÍA DE LA ELECTRICIDAD
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,EVANGELINA MORALES CARMONA,,Instituto Nacional De Salúd Pública,TECNOLOGÍA  INDUSTRIAL
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,ROCIO ALATORRE EDEN WYNTER,,COMISIÓN FEDERAL PARA LA PROTECCIÓN CONTRA RIESGOS SANITARIOS,BIOLOGÍA CELULAR
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,HUMBERTO VAZQUEZ GRAEMIX,,Instituto Nacional De Salúd Pública,EPIDEMIOLOGÍA
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,CUAUHTEMOC MANCHA MOCTEZUMA,,DIRECCIÓN GENERAL DE EPIDEMIOLOGÍA,Salud Pública
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,PABLO KURI MORALES,,DIRECCIÓN GENERAL DE EPIDEMIOLOGÍA,Salud Pública
"SISTEMA NACIONAL INTERACTIVO DE INFORMACIÓN GEOGRÁFICA, EPIDEMIOLÓGICA Y DE RIESGOS A LA SALUD",Instituto Nacional De Salud Pública,JOSÉ LUIS FLORES LUNA,,COMISIÓN FEDERAL PARA LA PROTECCIÓN CONTRA RIESGOS SANITARIOS,QUÍMICA ANALÍTICA
Sistema para alineación estática y dinámica de ortoprótesis para prevenir la reamputación en pacientes con amputación parcial de pie.,Instituto Nacional de Rehabilitación,JOSÉ LUIS URRUSTI ALONSO,,INNOVAMEDICA S.A. DE C.V.,Diseño y desarrollo de tecnología médica
Sistema para alineación estática y dinámica de ortoprótesis para prevenir la reamputación en pacientes con amputación parcial de pie.,Instituto Nacional de Rehabilitación,Josefina Gutiérrez Martínez,,Instituto Nacional de Rehabilitación,Evaluación Tecnológica
Sistema para alineación estática y dinámica de ortoprótesis para prevenir la reamputación en pacientes con amputación parcial de pie.,Instituto Nacional de Rehabilitación,Michelin Álvarez Camacho,,Instituto Nacional de Rehabilitación,Instrumentación Médica
Sistema para alineación estática y dinámica de ortoprótesis para prevenir la reamputación en pacientes con amputación parcial de pie.,Instituto Nacional de Rehabilitación,FRANCISCO MANUEL SÁNCHEZ AREVALO,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",Análisis expermiental de esfuerzos
Sistema para alineación estática y dinámica de ortoprótesis para prevenir la reamputación en pacientes con amputación parcial de pie.,Instituto Nacional de Rehabilitación,ARTURO RAMÍREZ MAYORGA,,,Ortopedia y Especialidad en Rehabilitación
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",PEDRO MONTES DEL CARMEN,,Instituto Nacional De Neurologia Y Neurocirugia,NEUROMORFOLOGIA Y ANALISIS CONDUCTUAL
SOCKET AJUSTABLE PARA MUÑÓN CON CAMBIO DE VOLUMEN EN AMPUTACIÓN TRANSFEMORAL.,Instituto Nacional de Rehabilitación,Carlos Galván Duque Gastélum,,Centro Nacional De Rehabilitación,TECNOLOGÍA  DE LA MEDICINA
SOCKET AJUSTABLE PARA MUÑÓN CON CAMBIO DE VOLUMEN EN AMPUTACIÓN TRANSFEMORAL.,Instituto Nacional de Rehabilitación,Jorge Andres Martínez Alarcón,,"Universidad Iberoamericana, A.C.",TECNOLOGÍA  DE LA MEDICINA
SOCKET AJUSTABLE PARA MUÑÓN CON CAMBIO DE VOLUMEN EN AMPUTACIÓN TRANSFEMORAL.,Instituto Nacional de Rehabilitación,Gerardo Rodríguez Reyes,,Centro Nacional De Rehabilitación,"BIOMECÁNICA, ANÁLISIS DE MOVIMIENTO"
SOCKET AJUSTABLE PARA MUÑÓN CON CAMBIO DE VOLUMEN EN AMPUTACIÓN TRANSFEMORAL.,Instituto Nacional de Rehabilitación,Ivett Quiñónes Urióstegui,,Centro Nacional De Rehabilitación,BIOMECÁNICA Y REHABILITACIÓN
SOCKET AJUSTABLE PARA MUÑÓN CON CAMBIO DE VOLUMEN EN AMPUTACIÓN TRANSFEMORAL.,Instituto Nacional de Rehabilitación,JORGE LETECHIPIA MORENO,,Centro Nacional De Rehabilitación,INGENIERÍA DE REHABILITACIÓN
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",PETRA YESCAS GÓMEZ,Nivel 1,Instituto Nacional De Neurologia Y Neurocirugia,BIOLOGÍA MOLECULAR HUMANA
SOCKET AJUSTABLE PARA MUÑÓN CON CAMBIO DE VOLUMEN EN AMPUTACIÓN TRANSFEMORAL.,Instituto Nacional de Rehabilitación,Aldo Alessi Montero,,Centro Nacional De Rehabilitación,INGENIERÍA DE REHABILITACIÓN Y ANÁLISIS DE MOVIMIENTO
SOCKET AJUSTABLE PARA MUÑÓN CON CAMBIO DE VOLUMEN EN AMPUTACIÓN TRANSFEMORAL.,Instituto Nacional de Rehabilitación,ALVARO ELIZALDE PAZ,,,Ortesis y Prótesis
SUPERVIVENCIA Y DETERMINANTES EN ADULTOS DE LA ZONA METROPOLITANA DE LA CIUDAD DE MÉXICO CON EPOC Y OTROS PADECIMIENTOS RESPIRATORIOS,Instituto Nacional de Enfermedades Respiratorias,Francisco Franco Marina,Nivel 1,Instituto Nacional de Rehabilitación,EPIDEMIOLOGÍA
SUPERVIVENCIA Y DETERMINANTES EN ADULTOS DE LA ZONA METROPOLITANA DE LA CIUDAD DE MÉXICO CON EPOC Y OTROS PADECIMIENTOS RESPIRATORIOS,Instituto Nacional de Enfermedades Respiratorias,José Rogelio Pérez Padilla,Nivel 3,Instituto Nacional de Enfermedades Respiratorias,Neumología
SUPERVIVENCIA Y DETERMINANTES EN ADULTOS DE LA ZONA METROPOLITANA DE LA CIUDAD DE MÉXICO CON EPOC Y OTROS PADECIMIENTOS RESPIRATORIOS,Instituto Nacional de Enfermedades Respiratorias,MARIA DEL ROSARIO FERNANDEZ PLATA,,Instituto Nacional De Salúd Pública,Estadística
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",ELIZABETH RUÍZ SÁNCHEZ,,Instituto Nacional De Neurologia Y Neurocirugia,BIOLOGÍA MOLECULAR HUMANA
Suplementación de hierro más antioxidantes para eliminar la muy alta prevalencia de anemia en México y sus consecuencias en la salud. Comparación con los métodos actualmente utilizados por la Secretaría de Salud,Universidad Autónoma De Querétaro,Miguel Angel Duerte Vazquez,Candidato,Universidad Autónoma de Querétaro,nutrimentos
Suplementación de hierro más antioxidantes para eliminar la muy alta prevalencia de anemia en México y sus consecuencias en la salud. Comparación con los métodos actualmente utilizados por la Secretaría de Salud,Universidad Autónoma De Querétaro,Javier Alatorre Rico,,"Universidad Nacional Autónoma De México, UNAM",Estrategias de estudio
Suplementación de hierro más antioxidantes para eliminar la muy alta prevalencia de anemia en México y sus consecuencias en la salud. Comparación con los métodos actualmente utilizados por la Secretaría de Salud,Universidad Autónoma De Querétaro,Dolores Ronquillo González,,Universidad Autónoma de Querétaro,Metodos estratégicos de matemá
Suplementación de hierro más antioxidantes para eliminar la muy alta prevalencia de anemia en México y sus consecuencias en la salud. Comparación con los métodos actualmente utilizados por la Secretaría de Salud,Universidad Autónoma De Querétaro,Roxana Preciado Cortez,,Universidad Autónoma de Querétaro,Química en alimentos
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Elizabeth Gordillo,,Universidad De Guadalajara - Centro Universitario De Ciencias De La Salud,BIOLOGÍA MOLECULAR
ÓXIDO NÍTRICO Y DISFUNCIÓN COGNOSCITIVA EN ADULTOS JÓVENES CON TRASTORNOS PSICÓTICOS,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",FRANCISCO NENTE CHÁVEZ,,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",PSIQUIATRÍA
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Patricia Rojas Castañeda,Nivel 2,Instituto Nacional De Neurologia Y Neurocirugia,"NEUROQUIMICA, NEUROFARMACOLOGÍA, NEUROTOXICOLOGIA"
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,MERCEDES GONZÁLEZ HITA,,Universidad De Guadalajara,BIOQUÍMICA de la nutrición
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Daniela Gordillo,,Universidad De Guadalajara - Centro Universitario De Ciencias De La Salud,Nutriología
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Martha Eloisa Ramos Márquez,,Universidad De Guadalajara - Centro Universitario De Ciencias De La Salud,BIOLOGÍA MOLECULAR
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Carmen Carrillo Pérez,,Universidad De Guadalajara - Centro Universitario De Ciencias De La Salud,GENÉTICA MOLECULAR
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Arturo Panduro Cerda,Nivel 2,Universidad De Guadalajara,HEPATOLOGIA MOLECULAR
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Laura Verónica Sánchez Orozco,Nivel 1,Universidad De Guadalajara,Virología molecular
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Claudia Montes Gómez,,Universidad De Guadalajara,QUÍMICA CLÍNICA
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Eloy Alfonso Zepeda Carrillo,,UNIVERSIDAD AUTÓNOMA DE NAYARIT,QUÍMICA CLÍNICA
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",NORMA SERRANO GARCÍA,Candidato,Instituto Nacional De Neurologia Y Neurocirugia,"NEUROQUIMICA, NEUROTOXICOLOGIA"
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Maria Laura Ventura Ayala,,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",María Teresa Herrera Barrios,Nivel 1,Instituto Nacional de Enfermedades Respiratorias,Estudio de tuberculosis en humano
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Stephanie Boisson Dupuis,,"Universidad Rockefeller, N.Y. U.S.A.",Relación huésped- parásito
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",MARTHA TORRES ROJAS,Nivel 1,Instituto Nacional de Enfermedades Respiratorias,Tuberculosis
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",JUDITH MIRIAM BOBADILLA DEL VALLE,Nivel 1,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",José Sifuentes Osornio,Nivel 3,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Margarita Nava Frías,,Secretaría de Salud,INFECTOLOGIA Y PEDIATRÍA
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Jacinta Bustamante,,"Universidad Rene Descartes, INSER U-980 Paris, Francia","Pediatria y genética, infectología"
"Susceptibilidad a infecciones micobacterianas y otras infecciones asociadas, en pacientes con inmunodeficiencia primaria por defectos genéticos relacionados con la producción o respuesta a Interferón gamma","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Jean Laurent Casanova,,"Universidad Rockefeller, N.Y. U.S.A. / Hospital Necker, Univ Descartes, Paris",Pediatria e Infectología
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",María Elisa Alonso Vilatela,Nivel 3,Instituto Nacional De Neurologia Y Neurocirugia,GENÉTICA HUMANA
Tabaquismo pasivo y susceptibilidad genética como predictores del Cáncer mamario,Instituto Nacional De Salud Pública,Luisa Elvira Torres Sánchez,Nivel 2,Instituto Nacional De Salúd Pública,Epidemiología
Tabaquismo pasivo y susceptibilidad genética como predictores del Cáncer mamario,Instituto Nacional De Salud Pública,Lizbeth Teresita López Carrillo,Nivel 3,Instituto Nacional De Salúd Pública,Epidemiología
Tabaquismo pasivo y susceptibilidad genética como predictores del Cáncer mamario,Instituto Nacional De Salud Pública,ANA ISABEL BURGUETE GARCÍA,Candidato,Instituto Nacional De Salúd Pública,Epidemiología Genética
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",MAYELA RODRÍGUEZ VIOLANTE,,Instituto Nacional De Neurologia Y Neurocirugia,NEUROLOGIA
Tamaño y Composición Corporal en Niños y Adolescente Mexicanos: desarrollo de ecuaciones para estudios epidemiológicos.,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",Héctor Bourges Rodriguez,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Nutriología
Tamaño y Composición Corporal en Niños y Adolescente Mexicanos: desarrollo de ecuaciones para estudios epidemiológicos.,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",Elaine Rush,,"Universidad Tecnológica De Auckland, Nueva Zelandia",Nutriología
Tamaño y Composición Corporal en Niños y Adolescente Mexicanos: desarrollo de ecuaciones para estudios epidemiológicos.,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",Silvia Yolanda Moya Camarena,Nivel 1,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",Nutriología
Tamaño y Composición Corporal en Niños y Adolescente Mexicanos: desarrollo de ecuaciones para estudios epidemiológicos.,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",MARTHA ELENA DEL PRADO MANRIQUEZ,Nivel 1,"Instituto Mexicano del Seguro Social - HOSPITAL DE PEDIATRÍA UIMEIP, CMN SXXI",Espectrometria de Masas
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,Irma Cañedo Solares,,Instituto Nacional De Pediatría,MICROBIOLOGÍA E INMUNOLOGÍA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,JOSÉ LUIS HERNÁNDEZ ISLAS,,Instituto Nacional De Pediatría,BIOQUÍMICA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,Rocío Aidee Castillo Cruz,,Instituto Nacional De Pediatría,"EPIDEMIOLOGÌA , INFECTOLOGIA EN PEDIATRÍA"
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,Pedro Gutiérrez Castrellón,Nivel 1,Instituto Nacional De Pediatría,"PEDIATRÍA, URGENTÓLOGO, EPIDEMIÓLOGO"
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,Lourdes Schnaas Arrieta,Nivel 1,Instituto Nacional de Perinatología Isidro Espinoza de los Reyes,MEDICINA CLÍNICA
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",ANA LUISA SOSA ORTIZ,Nivel 1,Instituto Nacional De Neurologia Y Neurocirugia,PSIQUIATRÍA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,MARCELA VELA AMIEVA,,Instituto Nacional De Pediatría,ESPECIALISTA EN TAMIZ NEONATAL
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,ROBERTO VILLAGRANA ZESATI,,Instituto Nacional de Perinatología Isidro Espinoza de los Reyes,GINECOBSTETRICIA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,PATRICIA SALTIGERAL SIMENTEL,,Instituto Nacional De Pediatría,INFECTOLOGA PEDIÁTRA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,RICARDO FIGUEROA DAMIAN,,Instituto Nacional de Perinatología Isidro Espinoza de los Reyes,INFECTOLOGO
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,MARIO ESTANISLAO GUZMAN HUERTA,,Instituto Nacional de Perinatología Isidro Espinoza de los Reyes,MEDICINA FETAL
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,MATILDE RUÍZ GARCÍA,,Instituto Nacional De Pediatría,NEUROLOGA PEDIÁTRA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,JUAN CARLOS ORDAZ FABILA,,Instituto Nacional De Pediatría,OFTALMOLOGÍA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,LETICIA BELMONT MARTINEZ,,Instituto Nacional De Pediatría,PEDIATRÍA
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,CARMEN SÁNCHEZ PÉREZ,,Instituto Nacional De Pediatría,NEUROCIENCIAS
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,Eva Delia Calderón Garcidueñas,,Secretaría de Salud,BIOQUÍMICA CLÍNICA/ MAESTRIA EN MEDICINA TRANSFUSIONAL Y TERAPIA CELULAR.
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",PATRICIA EVELYN CASTILLO MAYA,,Instituto Nacional De Neurologia Y Neurocirugia,Psicología Clínica y de la Salud
TAMIZ PRE Y POSNATAL DE INFECCIONES CONGÉNITAS EN LA CIUDAD DE MÉXICO,Instituto Nacional de Pediatría,CARLOS JESUS CONDE GONZÁLEZ,Nivel 1,Instituto Nacional De Salúd Pública,MICROBIOLOGÍA E INFECCIONES CONGENITAS
INGENIERÍA TISULAR PARA LA FORMACIÓN DE HUESO ÚTIL PARA AUTOTRANSPLANTE,,MANUEL GOMÉZ LIN,Nivel 2,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav) IRAPUATO,BIOTECNOLOGÍA
INGENIERÍA TISULAR PARA LA FORMACIÓN DE HUESO ÚTIL PARA AUTOTRANSPLANTE,,MARÍA CRISTINA PIÑA BARBA,Nivel 2,"Universidad Nacional Autónoma De México, UNAM - INSTITUTO DE INVESTIGACIONES EN MATERIALES",FÍSICA DE BIOMATERIALES
INGENIERÍA TISULAR PARA LA FORMACIÓN DE HUESO ÚTIL PARA AUTOTRANSPLANTE,,DANIEL ASENCIO GONZALEZ,,"Universidad Nacional Autónoma De México, UNAM - Facultad de medicina DIVISIÓN DE ESTUDIOS DE POSTGRADO.",INGENIERÍA TISULAR
INGENIERÍA TISULAR PARA LA FORMACIÓN DE HUESO ÚTIL PARA AUTOTRANSPLANTE,"Centro de Investigación y Asistencia en Tecnología y Diseño Del Estado de Jalisco, A.C. (CIATEJ)",Rogelio Enrique Hernández Pando,Nivel 3,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",INMUNOPATOLOGÍA
"TECNOLOGÍA DE FLUIDOS SUPERCRITICOS PARA LA ELABORACIÓN DE SISTEMAS MICRO/NANOESTRUCTURADOS A BASE DE QUITOSANO, COMO SISTEMAS ENTREGADORES DE FÁRMACOS ANTICÁNCER","Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",CARLOS ARTURO VELAZQUEZ CONTRERAS,Nivel 1,Universidad De Sonora,ENSAYOS BIOLOGICOS
BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",SANDRA YASET CERVANTES VÁZQUEZ,,Instituto Nacional De Neurologia Y Neurocirugia,Psicología Clínica y de la Salud
"TECNOLOGÍA DE FLUIDOS SUPERCRITICOS PARA LA ELABORACIÓN DE SISTEMAS MICRO/NANOESTRUCTURADOS A BASE DE QUITOSANO, COMO SISTEMAS ENTREGADORES DE FÁRMACOS ANTICÁNCER","Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",LETICIA FELIX VALENZUELA,,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",EXTRACCIÓN SUPERCRITICA Y MICROENCAPSULACIÓN DE SUSTANCIAS BIOACTIVAS
"TECNOLOGÍA DE FLUIDOS SUPERCRITICOS PARA LA ELABORACIÓN DE SISTEMAS MICRO/NANOESTRUCTURADOS A BASE DE QUITOSANO, COMO SISTEMAS ENTREGADORES DE FÁRMACOS ANTICÁNCER","Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",YOLANDA LETICIA LÓPEZ FRANCO,Candidato,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",CARACTERIZACIÓN ESTRUCTURAL DE POLISACÁRIDOS
"TECNOLOGÍA DE FLUIDOS SUPERCRITICOS PARA LA ELABORACIÓN DE SISTEMAS MICRO/NANOESTRUCTURADOS A BASE DE QUITOSANO, COMO SISTEMAS ENTREGADORES DE FÁRMACOS ANTICÁNCER","Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",INOCENCIO HIGUERA CIAPARA,Nivel 3,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",EXTRACCIÓN Y APLICACIONES DE QUITINA Y QUITOSANO
TELEASISTENCIA EN DIÁLISIS PERITONEAL,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",AMANDA ORALIA GÓMEZ GONZÁLEZ,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",COMUNICACIONES MEDIANTE SATELITE
TELEASISTENCIA EN DIÁLISIS PERITONEAL,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",VICENTE TRAVER,,UNIVERSIDAD POLITECNICA DE VALENCIA,DISEÑO DE CIRCUITOS
TELEASISTENCIA EN DIÁLISIS PERITONEAL,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",MA. DEL ROSARIO GUTIÉRREZ NAVA,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Nefrología pediátrica
TELEASISTENCIA EN DIÁLISIS PERITONEAL,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",JOSÉ VICENTE ROSAS,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",ENDOCRINOLOGIA
